global_update_round,loss,accuracy
0,0.6679113753065681,0.6543277330055093
1,0.46017388802910364,0.7970677958384556
2,0.4231745017300547,0.8146883394800346
3,0.4081219496342923,0.8230660656558758
4,0.4029737285255697,0.8258889951281702
5,0.39950539493356707,0.8280744889131721
6,0.39947425307935747,0.8282110822747348
7,0.3985087599839223,0.8302144515776533
8,0.39719395172246974,0.8313071984701543
9,0.39609361729411074,0.8312616673496335
10,0.3951603272397276,0.8324910076036971
11,0.3941472894869796,0.8330373810499476
12,0.3923505886772457,0.8337203478577607
13,0.39217117734496637,0.8340845968219278
14,0.3928661424377786,0.8334471611346356
15,0.39140418483027395,0.8348130947502618
16,0.3902343123118604,0.8352684059554706
17,0.3906243086588522,0.8352228748349497
18,0.39004677056191545,0.8352684059554706
19,0.3894754989558717,0.8360879661248464
20,0.3899334452383799,0.8353139370759914
