global_update_round,loss,accuracy
0,0.7602251404834044,0.2827027273141192
1,0.6463564288413726,0.7691572189591586
2,0.5690602317879186,0.7757592314346856
3,0.5595416980151655,0.7757592314346856
4,0.5870793628349594,0.7757592314346856
5,0.6346583497310951,0.7757592314346856
6,0.6933224130967534,0.7757592314346856
7,0.7450283377764249,0.7757592314346856
8,0.7935201797481878,0.7757592314346856
9,0.8325876612776817,0.7757592314346856
10,0.8575242458566347,0.7757592314346856
11,0.8802534799098599,0.7757592314346856
12,0.8945463817366994,0.7757592314346856
13,0.9044885680968929,0.7757592314346856
14,0.9100359251594379,0.7757592314346856
15,0.9152201072541069,0.7757592314346856
16,0.9221572915924674,0.7757592314346856
17,0.9240111238246612,0.7757592314346856
18,0.9275165346483712,0.7757592314346856
19,0.9303469473572152,0.7757592314346856
20,0.9276878874695855,0.7757592314346856
