id,start-time,dataset,attack-type,adaptive-attack-lambda,use-dp,noise-reduction,concentration-parameter,num-clients,fraction-malicious,local-epochs,learning-rate,batch-size,trusted-fraction,epsilon,delta,clipping-norm,noise-multiplier
715593149669089558,2026-07-28 20:55:59.423862,MNIST,,,True,True,5,100,0,1,0.03,128,0.5,1,1e-05,2,74.23863304373495
105466496421730321,2026-07-29 04:04:33.467754,EMNIST,,,True,True,5,100,0,1,0.03,128,0.5,1,1e-05,2,74.23863304373495
14435089081685884552,2026-07-29 10:15:36.808518,WEATHER,,,True,True,5,45,0,1,0.03,128,0.5,1,1e-05,2,73.75988974436616
1103068607555588417,2026-07-29 21:26:26.237172,MNIST,,,True,False,5,100,0,1,0.03,128,0.5,1,1e-05,2,52.7590985425416
14620109528292674259,2026-07-29 21:44:28.567052,EMNIST,,,True,False,5,100,0,1,0.03,128,0.5,1,1e-05,2,52.7590985425416
1758479121561657526,2026-07-30 00:21:33.486039,WEATHER,,,True,False,5,45,0,1,0.03,128,0.5,1,1e-05,2,52.7590985425416
16878372602283670451,2026-07-30 00:30:51.056793,MNIST,,,True,True,5,100,0,1,0.03,128,0.5,2,1e-05,2,39.67636700764775
5621725208707123530,2026-07-30 01:19:08.748831,EMNIST,,,True,True,5,100,0,1,0.03,128,0.5,2,1e-05,2,39.67636700764775
10823884778756205011,2026-07-30 04:06:41.719146,WEATHER,,,True,True,5,45,0,1,0.03,128,0.5,2,1e-05,2,39.42050569041213
304590276419627770,2026-07-30 04:18:06.085361,MNIST,,,True,False,5,100,0,1,0.03,128,0.5,2,1e-05,2,28.19676602346418
5537038411467644516,2026-07-30 04:35:31.884148,EMNIST,,,True,False,5,100,0,1,0.03,128,0.5,2,1e-05,2,28.19676602346418
17900010524614824378,2026-07-30 07:16:14.381922,WEATHER,,,True,False,5,45,0,1,0.03,128,0.5,2,1e-05,2,28.19676602346418
6971924408219160819,2026-07-30 07:25:28.915302,MNIST,,,True,True,5,100,0,1,0.03,128,0.5,4,1e-05,2,21.514849181334228
