global_update_round,loss,accuracy
0,0.6929116714783924,0.5235623548695534
1,0.5469007943218558,0.7757592314346856
2,0.520328168361417,0.7757592314346856
3,0.5169064287702302,0.7757592314346856
4,0.5237354817342895,0.7757592314346856
5,0.5298582766218133,0.7757592314346856
6,0.5269461834424725,0.7757592314346856
7,0.5115821255918073,0.7757592314346856
8,0.5076078392685,0.7757592314346856
9,0.5020358419068789,0.7758047625552065
10,0.49983000880147904,0.7763966671219779
11,0.5020174249373667,0.7784455675454173
12,0.4922627330841341,0.7863224513955288
13,0.48922515118463505,0.7931521194736603
14,0.4836220389772014,0.7999817875517916
15,0.48413509665380944,0.8046714929654418
16,0.4821537888691095,0.8085416382097164
17,0.48012381308186125,0.8130947502618039
18,0.4762712042551953,0.818558484724309
19,0.46317629967644225,0.8213814141966034
20,0.463586269319261,0.8235669079816055
