global_update_round,loss,accuracy
0,0.6613441857734523,0.6636616127122889
1,0.5599673491371453,0.7757592314346856
2,0.4962702560407436,0.7757592314346856
3,0.4620245423021904,0.7757592314346856
4,0.43754751033233236,0.7825433683922961
5,0.4206782029104196,0.80353321495242
6,0.41263086576635044,0.8153713062878477
7,0.4074265613086084,0.8229750034148341
8,0.4093568360974314,0.824477530392023
9,0.41171653573697464,0.8265264308154624
10,0.41158249777359796,0.8273459909848382
11,0.4147329672174376,0.8276191777079633
12,0.4190987510682889,0.8279834266721304
13,0.4192974158053743,0.8295314847698402
14,0.42555144256197874,0.8293493602877566
15,0.4268024014095756,0.8298046714929654
16,0.42912798073753894,0.8300323270955698
17,0.43013428632165385,0.8303965760597368
18,0.4329233595307004,0.8307608250239038
19,0.42955969105445097,0.8315348540727587
20,0.43273075683267914,0.8315348540727587
