update-round,test-loss,test-accuracy
0,0.3856128070416839,0.8347675636297409
1,0.3788666943911203,0.8373628374994309
2,0.374664037293473,0.838045804307244
3,0.3725597880520793,0.8386832399945363
4,0.3710529835418213,0.8395938624049538
5,0.3701399754472943,0.8397304557665164
6,0.3695234036896118,0.8393662068023494
7,0.368690671702457,0.8393206756818286
8,0.367315107869894,0.8415517005873514
9,0.36645384154520755,0.8413240449847471
10,0.3664423223411621,0.8412785138642263
11,0.36516147579044794,0.8417793561899558
12,0.3659484331431084,0.8418704184309976
13,0.3653909078864164,0.8420525429130811
14,0.3662282226737155,0.8411874516231844
15,0.36448005725478017,0.8426444474798525
16,0.3644825172892144,0.8422346673951646
17,0.3642954587243324,0.8425989163593316
18,0.36454757705850654,0.8416882939489141
19,0.3635652173137249,0.8422801985156855
20,0.36350327777827895,0.8429631653234986
21,0.3634947155883839,0.8419159495515185
22,0.3638496464334948,0.8421436051541229
23,0.36297654291225034,0.8431452898055821
24,0.3634917405542246,0.8426444474798525
25,0.36357725147417813,0.8425989163593316
26,0.3629997901531846,0.8431452898055821
27,0.3625020699705495,0.8436006010107909
28,0.3625566332579352,0.8433274142876657
29,0.36340931135901183,0.842416791877248
30,0.36252187227093896,0.842826571961936
31,0.36151375504600447,0.842462322997769
32,0.3611380869825912,0.8431452898055821
33,0.362577807981261,0.8422346673951646
34,0.36309341791757316,0.8427810408414151
35,0.3617903467181117,0.8426444474798525
36,0.36114167824907356,0.8417793561899558
37,0.36138616298693554,0.8429176342029777
38,0.3612934375658285,0.8427810408414151
39,0.36160522036600945,0.8425989163593316
40,0.36440341382525687,0.8413240449847471
41,0.36102150389274884,0.8425533852388107
42,0.36149367022999496,0.8429631653234986
43,0.3621323625015658,0.8422801985156855
44,0.3609562323883522,0.8422346673951646
45,0.3618879849740932,0.8423257296362063
46,0.36100013562759686,0.8419614806720394
47,0.36054615347191343,0.8425989163593316
48,0.36120649271233135,0.8419159495515185
49,0.36068041821898417,0.8418704184309976
50,0.3622061024571574,0.8427810408414151
51,0.36150844009636446,0.8430997586850613
52,0.36480198415039583,0.8401857669717252
53,0.3621673879408559,0.8425533852388107
54,0.36189564728979456,0.8415517005873514
55,0.3599630871484446,0.8413240449847471
56,0.3612619534481403,0.841733825069435
57,0.3610165031236965,0.8422801985156855
58,0.3632268519682247,0.841005327141101
59,0.3597773506284453,0.8426899786003733
60,0.36179873893080755,0.8428721030824569
61,0.3598070600784795,0.8428721030824569
62,0.3612751274174729,0.8433274142876657
63,0.36107170339240585,0.8423257296362063
64,0.360121603492041,0.8415972317078724
65,0.365241437240742,0.84095979602058
66,0.3600336245239474,0.8422346673951646
67,0.36151583830631057,0.8425989163593316
68,0.35994455547526827,0.842416791877248
69,0.3625866039980983,0.8416427628283932
70,0.3614684567288604,0.8427810408414151
71,0.36017859735807706,0.842416791877248
72,0.35958358957323916,0.8427810408414151
73,0.36065081827515777,0.8425989163593316
74,0.3602155980242546,0.8423257296362063
75,0.36042419197254405,0.8430997586850613
76,0.35986547925791074,0.8422346673951646
77,0.35904189801320086,0.843190820926103
78,0.35952581439253894,0.8426444474798525
79,0.36233480829139086,0.8420070117925602
80,0.3603877403968295,0.8430542275645404
81,0.3622705410126337,0.8422801985156855
82,0.3589751679277004,0.842462322997769
83,0.3584332784507857,0.842462322997769
84,0.35973750604966354,0.8427355097208943
85,0.3612149974201308,0.8433274142876657
86,0.3626340277233096,0.8427810408414151
87,0.3611790526571662,0.8418248873104767
88,0.361158819522622,0.8425078541182899
89,0.35914079736658305,0.8425989163593316
90,0.35990344434110233,0.8420980740336019
91,0.35970418354453043,0.843190820926103
92,0.3604590392043424,0.8425533852388107
93,0.3610668852492127,0.8415972317078724
94,0.3597593301430691,0.8428721030824569
95,0.36139232812579286,0.84355506989027
96,0.3608183400315601,0.8429631653234986
97,0.36050123968269937,0.8440559122159996
98,0.3596480505237746,0.8430997586850613
99,0.36006381856494174,0.8432818831671447
