update-round,test-loss,test-accuracy
0,0.5237580064368589,0.8194939951686253
1,0.47389208054122883,0.8326126389450066
2,0.45057658495420405,0.8400574263043422
3,0.4373524306204715,0.8366273221976738
4,0.42540365236230415,0.8449747685324485
5,0.41153812641226684,0.8497029822133199
6,0.40866831713842744,0.8540185517911333
7,0.4041991201859496,0.855067355553072
8,0.40804938278575936,0.8502789646071715
9,0.3979077222126939,0.8555573704254532
10,0.399290253144942,0.8556605314512177
11,0.39356667119743277,0.8583942986339761
12,0.39479118121667006,0.8565631904266569
13,0.39195601238866057,0.858385701881829
14,0.39786995324430163,0.8556089509383354
15,0.38908062650687886,0.8590648453014451
16,0.38747830390602317,0.8597525854732082
17,0.39127483559061327,0.8550415652966309
18,0.38942216303941307,0.8576033974364485
19,0.3836504062279092,0.8598299562425316
20,0.3830754062687472,0.8597439887210612
21,0.38281390477459554,0.8595032796609441
22,0.3807857190192205,0.8615579034240863
23,0.38648090877942126,0.8584200888904172
24,0.37978344536063696,0.8602254068412953
25,0.38147124505475805,0.8602254068412953
26,0.38125091020685875,0.8606466476965002
27,0.37726848384793704,0.8623230143651729
28,0.38232316607886024,0.8598815367554138
29,0.3770272926692784,0.8624089818866433
30,0.3804078977001776,0.8584716694032994
31,0.3850365954198197,0.8598127627382375
32,0.3801726894115064,0.8613859683811456
33,0.37788233082286593,0.861918967014262
34,0.3777121063998037,0.8617900157320564
35,0.3810526377493792,0.8607927924829999
36,0.37802354578334507,0.8611108723124403
37,0.37719125904724804,0.8596322309431497
38,0.3792861852676037,0.8609991145345288
39,0.3776281724701358,0.8629333837676126
40,0.38191261644935187,0.8585404434204758
41,0.3782467188680395,0.8628560129982893
42,0.37877877395932036,0.8622198533394084
43,0.38040452705423694,0.861704048210586
44,0.37508076465431484,0.8628560129982893
45,0.3740932864717918,0.8629419805197597
46,0.37512706831605785,0.8635179629136113
47,0.3748215987573494,0.8637070914608461
48,0.37632154111880545,0.860380148379942
49,0.37969479676258183,0.8605606801750298
50,0.3730895781379328,0.8642314933418155
51,0.378305320200747,0.8625895136817311
52,0.37431901603183076,0.8629247870154656
53,0.3746739109717842,0.864343251119727
54,0.37972448874424786,0.8613945651332926
55,0.3753641621179969,0.862580916929584
56,0.37391265189096873,0.8621768695786731
57,0.3751758511769365,0.8621768695786731
58,0.3790710511872477,0.8634319953921409
59,0.37661012930117294,0.8627012714596426
60,0.3745053136440525,0.8622284500915555
61,0.3748307665123536,0.8624777559038196
62,0.3778657233557685,0.8611366625688814
63,0.37631101855481547,0.8617298384670271
64,0.38079620668269093,0.8584200888904172
65,0.3720051602955305,0.863689897956552
66,0.37285566320120306,0.8635695434264935
67,0.373945609423587,0.8640681550510217
68,0.37840125956485504,0.8606466476965002
69,0.37669030617106997,0.8630881253062593
70,0.3772502501871195,0.8620909020572027
71,0.37562223636146685,0.8628388194939952
72,0.375649334000151,0.8623831916302022
73,0.3717374859502738,0.8642830738546977
74,0.3750485314099309,0.8634233986399938
75,0.3722856879824459,0.8640423647945806
76,0.3750774275646745,0.8633288343663764
77,0.3708516301462228,0.8646785244534615
78,0.3753384312223418,0.8630623350498182
79,0.3759655122152387,0.8628904000068774
80,0.3827743365360696,0.8580504285480945
81,0.37629076136876516,0.8625551266731429
82,0.37285803151865077,0.8641455258203451
83,0.378537119615196,0.8616180806891156
84,0.3740193469755196,0.8635437531700524
85,0.37640868806012784,0.8625895136817311
86,0.377029925994616,0.8616524676977038
87,0.37435990188381457,0.8640079777859925
88,0.37849374889212734,0.8628904000068774
89,0.3745664622720712,0.8636125271872287
90,0.3744329592772443,0.8628474162461423
91,0.3718619350389023,0.8651255555651075
92,0.37320937281853556,0.8631568993234356
93,0.3724017571104635,0.8643776381283151
94,0.3736840378661098,0.8632944473577883
95,0.3714788244797452,0.8649966042829019
96,0.37272808906531046,0.8644464121454914
97,0.38256490878080507,0.861265613851087
98,0.37352469342179817,0.8644378153933444
99,0.3740340712899291,0.8640251712902866
