global_update_round,loss,accuracy
0,2.3272608382792415,0.0995
1,2.3266327984725375,0.1
2,2.3260052264491216,0.1008
3,2.3253804218919973,0.1011
4,2.3247568214995953,0.1015
5,2.3241314857820923,0.1017
6,2.3235087907766996,0.1018
7,2.322884188422674,0.1021
8,2.3222577843485,0.1022
9,2.321630311917655,0.1023
10,2.321005483216877,0.1026
11,2.3203791002684,0.1029
12,2.3197506590734553,0.103
13,2.3191262408147884,0.1038
14,2.318502764158611,0.104
15,2.317883654485775,0.1042
16,2.3172608478159846,0.1045
17,2.316637609578386,0.1049
18,2.316015478930896,0.1052
19,2.315394700328006,0.1053
20,2.3147723704953735,0.1057
