global_update_round,loss,accuracy
0,2.3239070343065866,0.1013
1,2.2760244954990436,0.1329
2,2.2326030097430265,0.1816
3,2.1878059604499915,0.2631
4,2.143047999732102,0.346
5,2.0979698096649555,0.4266
6,2.052905306031432,0.485
7,2.0075495348700994,0.5254
8,1.9617810385136665,0.5584
9,1.9156875746159614,0.5842
10,1.869858452036411,0.604
11,1.8241049503978295,0.6185
12,1.7785198537609246,0.6294
13,1.7329360065580923,0.6374
14,1.6879295925550823,0.6447
15,1.6439524994620793,0.6521
16,1.6002300193038168,0.6572
17,1.5577539356448982,0.6629
18,1.516151275815843,0.6677
19,1.475557782981969,0.6738
20,1.4362332202211212,0.6807
