global-update-round,test-loss,test-accuracy,train-loss,train-accuracy
0,4.136625771382205,0.003859941714020443,4.136810845545444,0.003670844724127852
1,3.8320188389113214,0.09105679874143549,3.834131767488211,0.09132694875718551
2,3.536211291182053,0.21441159529929593,3.5416944597827267,0.21220978548053393
3,3.536211291182053,0.21441159529929593,3.5416944597827267,0.21220978548053393
4,3.360698783083979,0.25969068885774954,3.3678858739042306,0.2571110079491985
5,3.1866438612910013,0.2935103118042004,3.1951965079996207,0.29087647507207004
6,3.006715861587824,0.32547303628689084,3.0168437460711566,0.32281368385458753
7,2.834237856669928,0.3539540761500305,2.845951666924641,0.35109007754337096
8,2.680911502464447,0.3790909794279721,2.6941277387159492,0.37563831433434774
9,2.5540510777267116,0.3989494768876318,2.5683660806231408,0.3959139285775692
10,2.4486130004860773,0.42072505007608124,2.4636328061711397,0.4176696297060459
11,2.362119919506276,0.4400849359112127,2.377695507834153,0.4359393178705089
12,2.2958967122728846,0.45488854310841365,2.3119058153004204,0.4509063920267304
13,2.2363704046078188,0.4695288120148208,2.252450603736246,0.4661156101167449
14,2.184621113302574,0.4831288739114363,2.200580606718389,0.47975447464795995
15,2.1446551982285116,0.49299794537623687,2.1605941224490235,0.4900018913017314
16,2.1098208368850906,0.5026864850459496,2.1256359463243397,0.49994555343500513
17,2.1098208368850906,0.5026864850459496,2.1256359463243397,0.49994555343500513
18,2.078098840614217,0.5117818488175168,2.093641120293806,0.5091283964626926
19,2.0513535000423375,0.5197252478013806,2.066417536132639,0.5170274467999748
20,2.0238488706461815,0.5269465196048932,2.0386048605638227,0.5241384547491733
21,1.9993956795177226,0.5342537589298763,2.0137377296267998,0.5315216955233462
22,1.9816284102293644,0.5396439225260696,1.9957148027336145,0.5364706017205114
23,1.9626199940320994,0.5449653121050867,1.9764512933313159,0.5418292899594803
24,1.9513172727390222,0.5497622998031344,1.964808114632611,0.5468312099172985
25,1.9301286188769045,0.5548687705784755,1.9432448920834786,0.5520208272439149
26,1.920483177353423,0.557869037077792,1.933292865406101,0.555677343924623
27,1.9093025001376405,0.5611014158850787,1.9217263456531433,0.5594599473874245
28,1.9093025001376405,0.5611014158850787,1.9217263456531433,0.5594599473874245
29,1.8924552298526383,0.5647894225561583,1.9048059865482438,0.5632224915894385
30,1.8808310156610577,0.5691221856382659,1.8927894454942675,0.5669148283786959
31,1.8797383976629527,0.571365937948643,1.8916326887619885,0.5694852793681906
32,1.86915895789927,0.5739879473534899,1.8809167206785107,0.5723036055088462
33,1.8601749461781611,0.5769710203485123,1.8716953936512604,0.5756033539084037
34,1.8508587057189188,0.579558642744771,1.8623229526945597,0.5781222239415874
