global-update-round,test-loss,test-accuracy
0,2.342607515335083,0.1136
1,2.197753804779053,0.2942
2,2.053409211540222,0.4454
3,2.053409211540222,0.4454
4,1.9017495292663573,0.5402
5,1.747469168281555,0.6042
6,1.5957272876739501,0.6511
7,1.4477670906066895,0.6905
8,1.3236910835266114,0.7136
9,1.2129966024398804,0.7427
10,1.1197588306427002,0.7584
11,1.03752319688797,0.7772
12,0.9663649498939514,0.7936
13,0.9051648652076721,0.7998
14,0.8505047283172608,0.8116
15,0.8067602210998536,0.8176
16,0.765945086479187,0.8301
17,0.7320347354888916,0.8371
18,0.7006545105934143,0.8397
19,0.6740854684352875,0.842
20,0.6493679131031036,0.8493
21,0.6263206147193908,0.8518
22,0.6059312633514404,0.8523
23,0.5888022338867187,0.8555
24,0.574703320980072,0.8561
25,0.5587836699485779,0.8608
26,0.5463460884571075,0.8614
27,0.5347601994514465,0.8648
28,0.5256601770401002,0.8666
29,0.5159676265716553,0.8685
30,0.5067583176136017,0.8691
31,0.49972490129470826,0.8692
32,0.4917378394126892,0.8697
33,0.4842806115627289,0.8701
34,0.4746672980308533,0.875
35,0.4683571662902832,0.8753
36,0.4620950055599213,0.8753
37,0.4559082011222839,0.8754
38,0.45001463079452514,0.877
39,0.4455318337440491,0.877
40,0.4407737295150757,0.8781
41,0.4366016948223114,0.8791
42,0.4327166769981384,0.8806
43,0.4302610038757324,0.8783
44,0.427573921585083,0.8794
45,0.4213624761581421,0.8804
46,0.4184887519836426,0.8807
47,0.41575745282173154,0.8826
48,0.413269415307045,0.8825
49,0.41040022690296174,0.8833
50,0.40836537890434266,0.8839
51,0.40588134055137637,0.8836
52,0.40370858952999117,0.8848
53,0.4014714364528656,0.8844
54,0.4003171922683716,0.8855
55,0.39825374116897583,0.8851
56,0.39549334053993224,0.8862
57,0.39279056506156923,0.8866
58,0.38999071550369263,0.8871
59,0.3892346432685852,0.8883
60,0.3861497775554657,0.8896
61,0.38399088501930234,0.8898
62,0.382479478597641,0.8902
63,0.38129451010227206,0.8899
64,0.3790743790149689,0.8892
65,0.3778212187767029,0.8901
66,0.3772410228252411,0.8903
67,0.3748975327968597,0.8905
68,0.37301102929115293,0.8913
69,0.3725233869552612,0.8913
70,0.370726385307312,0.8917
71,0.3689248564481735,0.8926
72,0.36671454203128817,0.8941
73,0.36599295721054076,0.8926
74,0.36543759224414823,0.8932
75,0.3637835026741028,0.8934
76,0.363440802025795,0.8929
77,0.3625647437334061,0.8929
78,0.36085908639431,0.8931
79,0.35964871821403505,0.8945
80,0.3600821514368057,0.8946
81,0.3584271654844284,0.8952
82,0.3572064568996429,0.8943
83,0.35544658732414247,0.8958
84,0.35335710740089415,0.8956
85,0.35289113574028014,0.8955
86,0.3519835007429123,0.8958
87,0.351387766289711,0.8957
88,0.35010791301727295,0.8973
89,0.34945751667022706,0.8971
90,0.3477989122867584,0.8974
91,0.3469988125324249,0.8967
92,0.34649098370075226,0.8965
93,0.34609357213974,0.8972
94,0.3443859257698059,0.8985
95,0.34513096923828124,0.8982
96,0.34432534699440004,0.8976
97,0.3436925103187561,0.8986
98,0.3424120927333832,0.8998
99,0.34190159738063813,0.8988
100,0.3413149479627609,0.8991
101,0.34159811446666716,0.8992
102,0.34107860429286957,0.8987
103,0.34107860429286957,0.8987
104,0.3413544966697693,0.899
105,0.3409122598648071,0.9001
106,0.34084345910549163,0.9009
107,0.34144137630462645,0.9006
108,0.34122988505363466,0.9001
109,0.3407962303638458,0.8992
110,0.34099030075073244,0.9
111,0.3407447265625,0.8992
112,0.34022621326446534,0.9001
113,0.33999627301692964,0.8995
114,0.34043525340557096,0.8992
115,0.3390998541593552,0.9005
116,0.33801381611824033,0.9009
117,0.33813731989860535,0.9017
118,0.3373988651394844,0.9011
119,0.3378951590061188,0.9015
120,0.33825066637992857,0.9008
121,0.33825066637992857,0.9008
122,0.3376135464429855,0.901
123,0.3373223480582237,0.9012
124,0.3369663329362869,0.9008
125,0.3368992683887482,0.9003
126,0.3369123401284218,0.9011
