global-update-round,test-loss,test-accuracy,detection-accuracy,detection-precision,detection-recall
0,2.333741212081909,0.0927,,,
1,2.333741212081909,0.0927,0.28,0.28,1.0
2,2.333741212081909,0.0927,0.28,0.28,1.0
3,2.333741212081909,0.0927,0.28,0.28,1.0
4,2.1919601100921633,0.209,1.0,1.0,1.0
5,2.072033716201782,0.3228,1.0,1.0,1.0
6,1.9411182682037353,0.4873,1.0,1.0,1.0
7,1.794699655342102,0.558,1.0,1.0,1.0
8,1.6860270433425903,0.6005,0.98,1.0,0.9285714285714286
9,1.5744752025604247,0.6469,1.0,1.0,1.0
10,1.4289093805313111,0.6798,1.0,1.0,1.0
11,1.3204344673156738,0.6826,1.0,1.0,1.0
12,1.240761985206604,0.6788,1.0,1.0,1.0
13,1.143755841255188,0.6982,1.0,1.0,1.0
14,1.0815243069648743,0.7183,1.0,1.0,1.0
15,1.0318592986106871,0.7234,1.0,1.0,1.0
16,1.0015163625717163,0.7232,1.0,1.0,1.0
17,0.9408365016937256,0.7429,1.0,1.0,1.0
18,0.8833821584701538,0.7633,1.0,1.0,1.0
19,0.8846295013427734,0.7399,1.0,1.0,1.0
20,0.8389258745670318,0.7519,1.0,1.0,1.0
21,0.8168106423377991,0.7519,1.0,1.0,1.0
22,0.7864359622001648,0.7641,1.0,1.0,1.0
23,0.752317028427124,0.7727,1.0,1.0,1.0
24,0.7404771856307983,0.7738,1.0,1.0,1.0
25,0.7178528481960297,0.778,1.0,1.0,1.0
26,0.6981787379264831,0.7854,1.0,1.0,1.0
27,0.6930538143157959,0.7815,1.0,1.0,1.0
28,0.697333545589447,0.784,1.0,1.0,1.0
29,0.6760344575881958,0.7883,1.0,1.0,1.0
30,0.6674037170886994,0.7915,1.0,1.0,1.0
31,0.6578779628276825,0.7953,1.0,1.0,1.0
32,0.6447177363395691,0.8,1.0,1.0,1.0
33,0.6431475106239319,0.7963,1.0,1.0,1.0
34,0.6177194952011108,0.8074,1.0,1.0,1.0
35,0.6129745200634003,0.8046,1.0,1.0,1.0
36,0.6035001073360443,0.8133,1.0,1.0,1.0
37,0.610182732629776,0.8093,1.0,1.0,1.0
38,0.6044868543624878,0.8093,1.0,1.0,1.0
39,0.5945261282444,0.8151,1.0,1.0,1.0
40,0.5907568510055542,0.8155,1.0,1.0,1.0
41,0.586216784954071,0.8174,1.0,1.0,1.0
42,0.5794723139762878,0.8216,1.0,1.0,1.0
43,0.5921467204570771,0.8155,1.0,1.0,1.0
44,0.570604852104187,0.826,1.0,1.0,1.0
45,0.5750574504852295,0.8227,1.0,1.0,1.0
46,0.5667296486377716,0.8248,1.0,1.0,1.0
47,0.5615180753707886,0.8266,1.0,1.0,1.0
48,0.5595492741584778,0.8276,1.0,1.0,1.0
49,0.56292075881958,0.8261,1.0,1.0,1.0
50,0.5692912052154541,0.8217,1.0,1.0,1.0
51,0.5668529406547547,0.8228,1.0,1.0,1.0
52,0.568673973608017,0.8207,1.0,1.0,1.0
53,0.5640087057113647,0.8249,1.0,1.0,1.0
54,0.5599936095237732,0.8267,1.0,1.0,1.0
55,0.553752587723732,0.829,1.0,1.0,1.0
56,0.5689091693162918,0.8259,1.0,1.0,1.0
57,0.5733896450042725,0.8237,1.0,1.0,1.0
58,0.5766708435058594,0.8233,1.0,1.0,1.0
59,0.5704475071907044,0.8263,1.0,1.0,1.0
60,0.5813994005680084,0.8186,1.0,1.0,1.0
61,0.5917385950088501,0.8188,1.0,1.0,1.0
62,0.5830300852775574,0.8214,1.0,1.0,1.0
63,0.5838508465766906,0.821,1.0,1.0,1.0
64,0.5668303568840027,0.8251,1.0,1.0,1.0
65,0.5768837834835052,0.8249,1.0,1.0,1.0
66,0.5739811117172241,0.8238,1.0,1.0,1.0
67,0.5715242057085037,0.826,1.0,1.0,1.0
68,0.5714376851558686,0.8262,1.0,1.0,1.0
69,0.5691921827316284,0.8277,1.0,1.0,1.0
70,0.5956528012275696,0.8184,1.0,1.0,1.0
71,0.5822588681459427,0.823,1.0,1.0,1.0
72,0.5762944368839263,0.8252,1.0,1.0,1.0
73,0.5717624509096145,0.8289,1.0,1.0,1.0
74,0.5756694581031799,0.8274,1.0,1.0,1.0
75,0.576092049407959,0.8279,1.0,1.0,1.0
76,0.5829908512115478,0.8252,1.0,1.0,1.0
77,0.5785112621307373,0.8261,1.0,1.0,1.0
78,0.5811247218608856,0.8245,1.0,1.0,1.0
79,0.5848809636116028,0.8236,1.0,1.0,1.0
80,0.5853909136295319,0.8234,1.0,1.0,1.0
81,0.5799357178211212,0.8277,1.0,1.0,1.0
82,0.6110769111633301,0.8206,1.0,1.0,1.0
83,0.5978487455368042,0.8268,1.0,1.0,1.0
84,0.5971585530281067,0.8259,1.0,1.0,1.0
85,0.5990525735378265,0.8269,1.0,1.0,1.0
86,0.6083832183837891,0.8215,1.0,1.0,1.0
87,0.6099841725349426,0.8205,1.0,1.0,1.0
