global-update-round,test-loss,test-accuracy,detection-accuracy,detection-precision,detection-recall
0,4.129308899801512,0.00799497949674613,,,
1,4.129308899801512,0.00799497949674613,0.28,0.28,1.0
2,4.129308899801512,0.00799497949674613,0.28,0.28,1.0
3,4.129308899801512,0.00799497949674613,0.28,0.28,1.0
4,3.66321053400044,0.1289254919491416,1.0,1.0,1.0
5,2.9002668092592763,0.3309577641567016,1.0,1.0,1.0
6,2.3755789645496637,0.43908771266215624,1.0,1.0,1.0
7,2.085510449358531,0.491037885886712,1.0,1.0,1.0
8,1.9168648536182151,0.5262415859288361,1.0,1.0,1.0
9,1.8128263645138178,0.5512581346767191,1.0,1.0,1.0
10,1.7288476289024217,0.5680991721327683,1.0,1.0,1.0
11,1.7288476289024217,0.5680991721327683,1.0,1.0,1.0
12,1.6807670423716703,0.5853356601875811,1.0,1.0,1.0
13,1.6306035303251103,0.595918262080586,1.0,1.0,1.0
14,1.5830086884935126,0.6078333605563818,1.0,1.0,1.0
15,1.5458868013992926,0.6158799205660102,1.0,1.0,1.0
16,1.5283047491202013,0.6228690800615527,1.0,1.0,1.0
17,1.512327255259911,0.6267806022884554,1.0,1.0,1.0
18,1.484659849727828,0.6341566156306148,1.0,1.0,1.0
19,1.4728279666348547,0.6371138983691961,1.0,1.0,1.0
20,1.4538349461088371,0.6442148156426502,1.0,1.0,1.0
21,1.4480514386664718,0.646389793935851,1.0,1.0,1.0
22,1.4255220893918958,0.652570858729572,1.0,1.0,1.0
23,1.4255220893918958,0.652570858729572,1.0,1.0,1.0
24,1.4170238436204567,0.6551670778779777,1.0,1.0,1.0
25,1.411675948744472,0.6577718937785305,1.0,1.0,1.0
26,1.408729732802638,0.660325129166201,1.0,1.0,1.0
27,1.3821153345027113,0.663626281990664,1.0,1.0,1.0
28,1.3802526675731357,0.6667812900286272,1.0,1.0,1.0
29,1.371208291398806,0.6707529895205592,1.0,1.0,1.0
30,1.3725156749869865,0.6711828271279111,1.0,1.0,1.0
31,1.3725156749869865,0.6711828271279111,1.0,1.0,1.0
32,1.3697155003337664,0.6732546443953474,1.0,1.0,1.0
33,1.3506461844195,0.6771489731179561,1.0,1.0,1.0
34,1.3317006197729395,0.6803555616688015,1.0,1.0,1.0
