global-update-round,test-loss,test-accuracy,detection-accuracy,detection-precision,detection-recall
0,0.7967639564083763,0.29057961116423076,,,
1,0.7967639564083763,0.29057961116423076,0.28888888888888886,0.28888888888888886,1.0
2,0.7967639564083763,0.29057961116423076,0.28888888888888886,0.28888888888888886,1.0
3,0.7967639564083763,0.29057961116423076,0.28888888888888886,0.28888888888888886,1.0
4,0.5266441669489296,0.7909666256886582,1.0,1.0,1.0
5,0.47057108876266934,0.7944269908482448,1.0,1.0,1.0
6,0.44811021483227276,0.8048536174475254,1.0,1.0,1.0
7,0.43314802212961134,0.8107271319947184,1.0,1.0,1.0
8,0.42431939215421927,0.8162819286982652,1.0,1.0,1.0
9,0.41881630115971913,0.820425260665665,1.0,1.0,1.0
10,0.41394381463861485,0.8226562855711879,1.0,1.0,1.0
11,0.41111450875298833,0.8232937212584802,1.0,1.0,1.0
12,0.40867196556671076,0.8232026590174384,1.0,1.0,1.0
13,0.4067999608517887,0.8245685926330647,1.0,1.0,1.0
14,0.4053562747722755,0.8243864681509812,1.0,1.0,1.0
15,0.40417826653872935,0.8253426216819196,1.0,1.0,1.0
16,0.4030478606267265,0.8260711196102536,1.0,1.0,1.0
17,0.40174830151468344,0.8266174930565041,1.0,1.0,1.0
18,0.40135058245958266,0.8273459909848382,1.0,1.0,1.0
19,0.400526504593024,0.8279378955516096,1.0,1.0,1.0
20,0.39948113320797934,0.8284387378773391,1.0,1.0,1.0
21,0.39934292824407397,0.8292582980467149,1.0,1.0,1.0
22,0.3983970833667091,0.8293038291672358,1.0,1.0,1.0
23,0.39742142089331717,0.8294859536493193,1.0,1.0,1.0
24,0.3966263550170126,0.8294404225287985,1.0,1.0,1.0
25,0.39660350365515634,0.8302144515776533,1.0,1.0,1.0
26,0.396699025798885,0.8301689204571324,1.0,1.0,1.0
27,0.396699025798885,0.8301689204571324,1.0,1.0,1.0
28,0.3962443423435097,0.8310795428675499,1.0,1.0,1.0
29,0.3950028908858994,0.8311250739880709,1.0,1.0,1.0
30,0.39458102404417217,0.8310795428675499,1.0,1.0,1.0
31,0.3937049732938608,0.8312616673496335,1.0,1.0,1.0
32,0.3933379456780134,0.8322178208805718,1.0,1.0,1.0
33,0.393724627113351,0.8323544142421345,1.0,1.0,1.0
34,0.3933441658594925,0.8322633520010927,1.0,1.0,1.0
35,0.3926254000075608,0.8324454764831762,1.0,1.0,1.0
36,0.3926254000075608,0.8324454764831762,1.0,1.0,1.0
37,0.3918665708243041,0.8322178208805718,1.0,1.0,1.0
38,0.3902508293578779,0.833629285616719,1.0,1.0,1.0
39,0.3902516584982992,0.833629285616719,1.0,1.0,1.0
40,0.3908234562470234,0.8330829121704685,1.0,1.0,1.0
41,0.3898852486452574,0.833629285616719,1.0,1.0,1.0
42,0.38947882192228106,0.8335837544961981,1.0,1.0,1.0
43,0.38949519637090957,0.8334471611346356,1.0,1.0,1.0
44,0.38981697562938994,0.8338114100988026,1.0,1.0,1.0
45,0.3888403412227894,0.8338114100988026,1.0,1.0,1.0
46,0.38932175977804434,0.8334926922551564,1.0,1.0,1.0
47,0.3881988940503609,0.833993534580886,1.0,1.0,1.0
48,0.3885658632420953,0.8335382233756773,1.0,1.0,1.0
49,0.3863929114923372,0.8347220325092201,1.0,1.0,1.0
50,0.3866362202413387,0.8344488457860948,1.0,1.0,1.0
51,0.38625314920341436,0.8345854391476574,1.0,1.0,1.0
52,0.3862605892569241,0.8341756590629695,1.0,1.0,1.0
53,0.3860843194528111,0.8346765013886992,1.0,1.0,1.0
54,0.38563381430935906,0.8349496881118245,1.0,1.0,1.0
55,0.38563381430935906,0.8349496881118245,1.0,1.0,1.0
56,0.38520890092478477,0.8355871237991167,1.0,1.0,1.0
57,0.38504591927374016,0.8356326549196376,1.0,1.0,1.0
58,0.3855014663247828,0.8356326549196376,1.0,1.0,1.0
59,0.38614816339551244,0.8349952192323453,1.0,1.0,1.0
60,0.3850711114212381,0.835450530437554,1.0,1.0,1.0
61,0.3855207968468126,0.8349496881118245,1.0,1.0,1.0
62,0.3854327152993669,0.8355871237991167,1.0,1.0,1.0
63,0.3857498564084241,0.8356781860401584,1.0,1.0,1.0
64,0.3855520792358729,0.8351773437144289,1.0,1.0,1.0
65,0.38422045323202064,0.8361790283658881,1.0,1.0,1.0
66,0.3848161350447032,0.8359969038838045,1.0,1.0,1.0
67,0.38425298447720324,0.8356326549196376,1.0,1.0,1.0
68,0.3834918586683367,0.8362700906069298,1.0,1.0,1.0
69,0.3836304318930387,0.8364522150890134,1.0,1.0,1.0
70,0.3852115359152405,0.835860310522242,1.0,1.0,1.0
71,0.38461287438595376,0.8359969038838045,1.0,1.0,1.0
72,0.38417319281420487,0.8364977462095342,1.0,1.0,1.0
73,0.38400566717404105,0.8359058416427628,1.0,1.0,1.0
74,0.3832809932786726,0.8365888084505759,1.0,1.0,1.0
75,0.3845055909754501,0.8363156217274507,1.0,1.0,1.0
76,0.38351192104410986,0.8360424350043254,1.0,1.0,1.0
77,0.38314608366487346,0.8358147794017211,1.0,1.0,1.0
78,0.3823580082304267,0.8373628374994309,1.0,1.0,1.0
79,0.38356116477710295,0.8367254018121386,1.0,1.0,1.0
80,0.3826434660146771,0.8374083686199517,1.0,1.0,1.0
81,0.3839611064018309,0.8363156217274507,1.0,1.0,1.0
82,0.384128581629215,0.8356326549196376,1.0,1.0,1.0
83,0.3850607666406769,0.8355871237991167,1.0,1.0,1.0
84,0.3819908453989066,0.8365888084505759,1.0,1.0,1.0
85,0.3819477772314312,0.836907526294222,1.0,1.0,1.0
86,0.38152105213487125,0.8372717752583891,1.0,1.0,1.0
87,0.3814093932989098,0.8369985885352639,1.0,1.0,1.0
88,0.3819501312824512,0.8368619951737012,1.0,1.0,1.0
89,0.3819337327781121,0.8364977462095342,1.0,1.0,1.0
90,0.38176259511221533,0.8364522150890134,1.0,1.0,1.0
91,0.3806697163909466,0.8372262441378683,1.0,1.0,1.0
92,0.3817095610416202,0.8366798706916178,1.0,1.0,1.0
93,0.3824866006148891,0.8365888084505759,1.0,1.0,1.0
94,0.3819581300450366,0.8370441196557847,1.0,1.0,1.0
95,0.3818172535077582,0.8374538997404726,1.0,1.0,1.0
96,0.3808800359461166,0.8376360242225561,1.0,1.0,1.0
97,0.3810478765033218,0.8370441196557847,1.0,1.0,1.0
98,0.3806932047732035,0.8373628374994309,1.0,1.0,1.0
99,0.3802986972205969,0.8378636798251605,1.0,1.0,1.0
100,0.37898788537689504,0.8379092109456814,1.0,1.0,1.0
