global-update-round,test-loss,test-accuracy
0,4.133440877772218,0.013548481383733225
1,4.133440877772218,0.013548481383733225
2,4.133440877772218,0.013548481383733225
3,4.133440877772218,0.013548481383733225
4,3.656315929858545,0.11393275620470586
5,2.916644882963363,0.38412007943398985
6,2.2963002417408385,0.4615424292702217
7,2.034825194631434,0.5131487324088959
8,1.8842577415914865,0.5469081780903174
9,1.7848156564289368,0.570936100341291
10,1.7132742548022095,0.5876223962586935
11,1.6630536486519738,0.6006120887528692
12,1.6229058020034328,0.6100513226103178
13,1.5900212579908868,0.6179087540727113
14,1.5653881874713134,0.6246572045081368
15,1.5399917538656338,0.6303912381902117
16,1.5204076024101532,0.6350850648624949
17,1.4991758948048894,0.6397960850390723
18,1.4991758948048894,0.6397960850390723
19,1.4762714958208956,0.6451776518831186
20,1.4640740307794748,0.6481865151345821
21,1.451114509624299,0.6521668113786612
22,1.4371022675286476,0.6554937544595651
23,1.422707647246854,0.6588464877969104
24,1.4128276635762547,0.6618123672876387
25,1.4072791181098836,0.6645461344703971
26,1.3908567394401115,0.6674776269525373
27,1.3826073048161365,0.6700136688359138
28,1.373870170707844,0.672266017898438
29,1.3679375001185832,0.674501173456668
30,1.3573982532800597,0.6765386037155163
31,1.3529531259276768,0.6790058715817164
32,1.3410727212156097,0.6811980433792113
33,1.3446464269335423,0.6828400230392958
34,1.3324253664073866,0.6847828890245266
35,1.3266903498233367,0.6866999647533162
36,1.3124834892013417,0.6888147657814877
37,1.3114531448579518,0.6903879714243959
38,1.307862002238606,0.6920213543323332
39,1.3070849677901357,0.6930443678378309
40,1.2959779135789788,0.6947981052758267
41,1.2898977693900584,0.6966893907481754
42,1.282865111464636,0.6983485639125538
43,1.2875549501889154,0.6989159495542584
44,1.2875549501889154,0.6989159495542584
45,1.2725883226060237,0.7007814447701658
46,1.2800440998273666,0.7015723459676934
47,1.2659402638080672,0.7035925827222476
48,1.2664919341025451,0.7044866449455396
49,1.2616743082177178,0.7054064974252727
50,1.2556289491566293,0.7069453160595927
51,1.2634800825299959,0.7077792010178554
52,1.25812237549038,0.7083465866595601
53,1.2443299167302133,0.7100401468325267
54,1.2381885088108147,0.711209305124524
55,1.2396754286992093,0.7119572225613163
56,1.2383929120849992,0.7121549478606982
57,1.2321961691980436,0.713650782734283
58,1.2277736309479115,0.7146394092311924
59,1.2201899731031005,0.7164877109428058
60,1.2227067871387585,0.7169347420544518
61,1.21915613239387,0.7178116107734498
62,1.2129241545108955,0.7191011235955056
63,1.2092398205062376,0.719866234536592
64,1.2146854162714245,0.7201671208617384
65,1.2082355439221752,0.7212417148801183
66,1.2018264883712724,0.7220841965905281
67,1.2077366124904916,0.7224624536849978
68,1.197462278591236,0.7233393224039958
69,1.1941407528835093,0.72428496514017
70,1.1951829411104344,0.7250156890726683
71,1.1885546142696708,0.7260129123217248
72,1.1903156140716726,0.7259527350566956
73,1.1855490083157374,0.7267780232628113
74,1.181979873426488,0.7283426321535724
75,1.1845082577780752,0.7285403574529543
76,1.1769198668398353,0.7295547742063049
77,1.1730647434180739,0.7301307566001565
78,1.1692265774493449,0.7309990285670074
79,1.172187927956543,0.7312139473706833
80,1.166996767970121,0.7322627511326221
81,1.1663461854414137,0.7328129432700325
82,1.1563383618119147,0.7337241989976186
83,1.1556984020491015,0.73444632617797
84,1.1583485465474712,0.7347472125031164
85,1.1581449414794147,0.7348503735288808
86,1.158822096467216,0.7352458241276446
87,1.1564946846775745,0.7361656766073778
88,1.1474963934620372,0.7368018362662586
89,1.1540559780958113,0.7372316738736105
90,1.1495162556434446,0.7378248497717562
91,1.1436659611071935,0.7385383801999604
92,1.1436657934642303,0.7385555737042545
93,1.1401585697903314,0.7390197983201946
94,1.1412367769212162,0.7398278930220162
95,1.1373472951528287,0.7401459728514567
96,1.1409581456585662,0.7408423097753669
97,1.1372656932351461,0.7415558402035711
98,1.136280267630075,0.7419512908023349
99,1.1300047761663896,0.7426648212305391
100,1.1353199233406035,0.7429399172992444
