global-update-round,test-loss,test-accuracy,detection-accuracy,detection-precision,detection-recall
0,2.3371668769836424,0.1151,,,
1,2.3371668769836424,0.1151,0.2,0.2,1.0
2,2.3371668769836424,0.1151,0.2,0.2,1.0
3,2.3371668769836424,0.1151,0.2,0.2,1.0
4,2.159511067581177,0.3241,0.58,0.21052631578947367,0.4
5,2.042236540412903,0.4471,0.4,0.1875,0.6
6,1.889806721687317,0.4984,0.35,0.15384615384615385,0.5
7,1.7376470151901244,0.5366,0.56,0.2,0.4
8,1.577437275314331,0.5872,0.7,0.34375,0.55
9,1.4449605239868164,0.6554,0.52,0.15,0.3
10,1.3201746398925782,0.6781,0.6,0.20588235294117646,0.35
11,1.2055980325698852,0.7034,0.65,0.2222222222222222,0.3
12,1.1196890258789063,0.7199,0.68,0.2692307692307692,0.35
13,1.04615350856781,0.7341,0.67,0.25925925925925924,0.35
14,0.9945127126693726,0.747,0.62,0.23529411764705882,0.4
15,0.9340456377983093,0.7416,0.62,0.09090909090909091,0.1
16,0.8914236142158508,0.7606,0.7,0.14285714285714285,0.1
17,0.8400596068382263,0.7814,0.68,0.125,0.1
18,0.7997608335494996,0.7988,0.69,0.21052631578947367,0.2
19,0.7639381152153015,0.8013,0.72,0.21428571428571427,0.15
20,0.7274303693771362,0.8175,0.73,0.18181818181818182,0.1
21,0.7056754573345184,0.822,0.73,0.23076923076923078,0.15
22,0.6826471648216248,0.8177,0.72,0.21428571428571427,0.15
23,0.6826471648216248,0.8177,0.68,0.07142857142857142,0.05
24,0.6677792400360107,0.8225,0.74,0.0,0.0
25,0.6456497153282166,0.8263,0.75,0.2727272727272727,0.15
26,0.6371989207267761,0.8247,0.73,0.23076923076923078,0.15
27,0.6222378504753113,0.8283,0.71,0.2631578947368421,0.25
28,0.610152701997757,0.8321,0.72,0.3,0.3
29,0.6043414516925811,0.8296,0.5,0.17391304347826086,0.4
30,0.5955142954349518,0.8365,0.61,0.1935483870967742,0.3
31,0.5790492485046387,0.8355,0.62,0.15384615384615385,0.2
32,0.5773362102508545,0.833,0.64,0.16666666666666666,0.2
33,0.5666079248428345,0.8318,0.63,0.16,0.2
34,0.553680075263977,0.8375,0.61,0.08695652173913043,0.1
35,0.5468164603233338,0.8374,0.64,0.1,0.1
36,0.5383890972137452,0.842,0.67,0.15789473684210525,0.15
37,0.52948191614151,0.8455,0.72,0.25,0.2
38,0.5295038515567779,0.8458,0.65,0.10526315789473684,0.1
39,0.5193828534126281,0.8488,0.67,0.19047619047619047,0.2
40,0.5181265919685364,0.8468,0.66,0.23076923076923078,0.3
41,0.5139062141895294,0.8492,0.69,0.23809523809523808,0.25
42,0.5085606818199158,0.8509,0.6,0.16666666666666666,0.25
43,0.5085606818199158,0.8509,0.62,0.09090909090909091,0.1
44,0.5067163264274597,0.8516,0.61,0.14814814814814814,0.2
45,0.5067163264274597,0.8516,0.62,0.17857142857142858,0.25
46,0.5104170320987701,0.8483,0.66,0.20833333333333334,0.25
47,0.5067876866340637,0.8481,0.69,0.23809523809523808,0.25
48,0.5061358400344849,0.8474,0.69,0.2608695652173913,0.3
49,0.5003643915176391,0.8479,0.71,0.3333333333333333,0.45
50,0.49768355040550233,0.8487,0.7,0.25,0.25
51,0.4932871931552887,0.8498,0.77,0.4,0.3
52,0.4966758250236511,0.8495,0.77,0.4,0.3
53,0.48691137409210206,0.8519,0.79,0.4444444444444444,0.2
54,0.48691137409210206,0.8519,0.75,0.35294117647058826,0.3
55,0.48393271603584287,0.8515,0.75,0.3076923076923077,0.2
56,0.47995919704437257,0.8547,0.65,0.14285714285714285,0.15
57,0.48086181983947757,0.8522,0.59,0.16129032258064516,0.25
58,0.48493165855407716,0.8506,0.64,0.1,0.1
59,0.4777803111076355,0.853,0.69,0.17647058823529413,0.15
60,0.4738972945690155,0.858,0.72,0.3,0.3
61,0.4743400246620178,0.8575,0.65,0.14285714285714285,0.15
62,0.4743400246620178,0.8575,0.74,0.3125,0.25
63,0.4730043375968933,0.8598,0.69,0.23809523809523808,0.25
64,0.4709484283924103,0.8593,0.73,0.23076923076923078,0.15
