global-update-round,test-loss,test-accuracy,detection-accuracy,detection-precision,detection-recall
0,0.8109704844261113,0.29895733734007196,,,
1,0.8109704844261113,0.29895733734007196,0.28888888888888886,0.28888888888888886,1.0
2,0.8109704844261113,0.29895733734007196,0.28888888888888886,0.28888888888888886,1.0
3,0.8109704844261113,0.29895733734007196,0.28888888888888886,0.28888888888888886,1.0
4,0.5607935521563877,0.7757592314346856,1.0,1.0,1.0
5,0.5047765399286918,0.7757592314346856,1.0,1.0,1.0
6,0.4743268951303466,0.7842280198515685,1.0,1.0,1.0
7,0.4743268951303466,0.7842280198515685,1.0,1.0,1.0
8,0.4532861763872052,0.7971588580794974,1.0,1.0,1.0
9,0.4376506191434818,0.8070846423530483,1.0,1.0,1.0
10,0.4277415557598713,0.8151436506852434,1.0,1.0,1.0
11,0.41973001707372554,0.8206984473887903,1.0,1.0,1.0
12,0.41357164205339164,0.823020534535355,1.0,1.0,1.0
13,0.40933072562101125,0.8235213768610845,1.0,1.0,1.0
14,0.40531473351280445,0.8245685926330647,1.0,1.0,1.0
15,0.40284564194064626,0.8261166507307744,1.0,1.0,1.0
16,0.40076518018611634,0.827755771069526,1.0,1.0,1.0
17,0.39991522705935445,0.8278923644310886,1.0,1.0,1.0
18,0.3981476442109245,0.828120020033693,1.0,1.0,1.0
19,0.39708988406980256,0.8284387378773391,1.0,1.0,1.0
20,0.3958394937663327,0.8289395802030688,1.0,1.0,1.0
21,0.395648932416805,0.8293038291672358,1.0,1.0,1.0
22,0.39436231584153375,0.8296225470108819,1.0,1.0,1.0
23,0.39415980796586436,0.8298502026134863,1.0,1.0,1.0
24,0.39415980796586436,0.8298502026134863,1.0,1.0,1.0
25,0.3932735205337128,0.8304876383007785,1.0,1.0,1.0
26,0.3923658990949,0.8313071984701543,1.0,1.0,1.0
27,0.3920892426394778,0.8311250739880709,1.0,1.0,1.0
28,0.3925789044223913,0.830715293903383,1.0,1.0,1.0
29,0.3916457387282159,0.8315348540727587,1.0,1.0,1.0
30,0.391046033337409,0.8319901652779675,1.0,1.0,1.0
31,0.3910008871733901,0.8316714474343213,1.0,1.0,1.0
32,0.39037725201711704,0.8313982607111962,1.0,1.0,1.0
33,0.39070757760955127,0.8311706051085918,1.0,1.0,1.0
34,0.3906434715725015,0.8308518872649456,1.0,1.0,1.0
35,0.3899475408643613,0.8315348540727587,1.0,1.0,1.0
36,0.3904241982994849,0.8309429495059873,1.0,1.0,1.0
37,0.38965366058530243,0.8316714474343213,1.0,1.0,1.0
38,0.3891665375265806,0.8315803851932796,1.0,1.0,1.0
39,0.38828514708156103,0.8321267586395301,1.0,1.0,1.0
40,0.3885291042274906,0.832172289760051,1.0,1.0,1.0
41,0.3893277672141192,0.8322633520010927,1.0,1.0,1.0
42,0.3883738184498453,0.8320356963984884,1.0,1.0,1.0
43,0.38838549267750144,0.8323999453626554,1.0,1.0,1.0
44,0.38908806254465017,0.8320812275190093,1.0,1.0,1.0
45,0.38794504720667633,0.8323088831216137,1.0,1.0,1.0
46,0.38905012751409374,0.8322178208805718,1.0,1.0,1.0
47,0.3884328215933018,0.8322633520010927,1.0,1.0,1.0
48,0.38820426398839464,0.8323544142421345,1.0,1.0,1.0
49,0.3870602426527628,0.8330373810499476,1.0,1.0,1.0
50,0.38792594493165483,0.8327641943268224,1.0,1.0,1.0
51,0.38691380247253215,0.8334471611346356,1.0,1.0,1.0
52,0.3860904292342105,0.8338569412193234,1.0,1.0,1.0
53,0.3857398439787811,0.8335837544961981,1.0,1.0,1.0
54,0.3857398439787811,0.8335837544961981,1.0,1.0,1.0
55,0.3853312005915505,0.8334926922551564,1.0,1.0,1.0
56,0.3862381116270189,0.8329918499294268,1.0,1.0,1.0
57,0.38625759184591185,0.8334926922551564,1.0,1.0,1.0
58,0.38529907154134835,0.8335382233756773,1.0,1.0,1.0
59,0.38475587208110473,0.8337658789782817,1.0,1.0,1.0
60,0.3856375272474952,0.8338114100988026,1.0,1.0,1.0
61,0.38651500707635983,0.8323544142421345,1.0,1.0,1.0
62,0.3851011163174593,0.8342211901834904,1.0,1.0,1.0
63,0.3851011163174593,0.8342211901834904,1.0,1.0,1.0
64,0.3845874084202051,0.8345399080271365,1.0,1.0,1.0
65,0.3848584667122962,0.8341301279424487,1.0,1.0,1.0
66,0.383957293028932,0.8344943769066157,1.0,1.0,1.0
67,0.3842048599426578,0.8344033146655739,1.0,1.0,1.0
68,0.38402907138302184,0.8344943769066157,1.0,1.0,1.0
69,0.38372930598726845,0.8344488457860948,1.0,1.0,1.0
70,0.38374814744888636,0.8347675636297409,1.0,1.0,1.0
71,0.3839716589125715,0.8343122524245322,1.0,1.0,1.0
72,0.383400556543228,0.8349952192323453,1.0,1.0,1.0
73,0.38321676201297794,0.8349952192323453,1.0,1.0,1.0
74,0.382944280743105,0.8356326549196376,1.0,1.0,1.0
75,0.382944280743105,0.8356326549196376,1.0,1.0,1.0
76,0.38276632204573807,0.8351773437144289,1.0,1.0,1.0
77,0.3832663355132886,0.835450530437554,1.0,1.0,1.0
78,0.38390115377426753,0.8346309702681783,1.0,1.0,1.0
79,0.38444799661082724,0.8342667213040112,1.0,1.0,1.0
80,0.38363634447405986,0.8348586258707826,1.0,1.0,1.0
81,0.3824105949907286,0.835450530437554,1.0,1.0,1.0
82,0.3823107455112523,0.8355415926785958,1.0,1.0,1.0
83,0.3819076375427649,0.835860310522242,1.0,1.0,1.0
84,0.38156428144087,0.8355415926785958,1.0,1.0,1.0
85,0.38176034742304193,0.8359969038838045,1.0,1.0,1.0
86,0.38171478959807703,0.8357692482812002,1.0,1.0,1.0
87,0.3809965587903072,0.8357237171606793,1.0,1.0,1.0
88,0.3811039692965958,0.8359969038838045,1.0,1.0,1.0
89,0.38134999586325147,0.835450530437554,1.0,1.0,1.0
90,0.382233747502187,0.8354049993170332,1.0,1.0,1.0
91,0.38150315700927534,0.8355415926785958,1.0,1.0,1.0
92,0.38176012171621243,0.8351318125939079,1.0,1.0,1.0
93,0.38218089382771026,0.8349041569913036,1.0,1.0,1.0
94,0.38182463982671583,0.8361790283658881,1.0,1.0,1.0
95,0.38118066400396733,0.8357692482812002,1.0,1.0,1.0
96,0.3824753061548226,0.8348586258707826,1.0,1.0,1.0
97,0.3824704690898577,0.835496061558075,1.0,1.0,1.0
98,0.38008715512295194,0.8363156217274507,1.0,1.0,1.0
99,0.3798025191408284,0.8359969038838045,1.0,1.0,1.0
100,0.38016314346521207,0.8364977462095342,1.0,1.0,1.0
