global-update-round,test-loss,test-accuracy,detection-accuracy,detection-precision,detection-recall
0,2.3385780406951904,0.1011,,,
1,2.3385780406951904,0.1011,0.2,0.2,1.0
2,2.3385780406951904,0.1011,0.2,0.2,1.0
3,2.3385780406951904,0.1011,0.2,0.2,1.0
4,2.156601891708374,0.2911,0.53,0.15384615384615385,0.3
5,1.990917733001709,0.4546,0.53,0.13513513513513514,0.25
6,1.8308348030090331,0.5314,0.53,0.15384615384615385,0.3
7,1.6743336284637451,0.5921,0.61,0.14814814814814814,0.2
8,1.5193277629852295,0.6399,0.65,0.2413793103448276,0.35
9,1.5193277629852295,0.6399,0.52,0.0625,0.1
10,1.3911801067352294,0.6501,0.61,0.14814814814814814,0.2
11,1.2693264123916626,0.6872,0.59,0.18181818181818182,0.3
12,1.16823790807724,0.7066,0.65,0.2413793103448276,0.35
13,1.077638310432434,0.7286,0.68,0.25,0.3
14,1.005989513683319,0.7467,0.65,0.2413793103448276,0.35
15,0.9420370601654052,0.7701,0.68,0.2,0.2
16,0.8876887529373169,0.7828,0.72,0.25,0.2
17,0.8415013011932373,0.7912,0.74,0.25,0.15
18,0.7995639496803284,0.7997,0.77,0.3333333333333333,0.15
19,0.7638802704811096,0.804,0.71,0.23529411764705882,0.2
20,0.7309414932250976,0.8137,0.72,0.2777777777777778,0.25
21,0.7052729365348815,0.8163,0.7,0.1875,0.15
22,0.6777639795303345,0.8254,0.7,0.14285714285714285,0.1
23,0.6535819226264954,0.8343,0.71,0.15384615384615385,0.1
24,0.6535819226264954,0.8343,0.73,0.23076923076923078,0.15
25,0.6355744072914123,0.8368,0.74,0.2,0.1
26,0.6193581126689911,0.8369,0.73,0.18181818181818182,0.1
27,0.6030121864318848,0.8377,0.73,0.18181818181818182,0.1
28,0.5879855670928955,0.8423,0.7,0.14285714285714285,0.1
29,0.5747212717533111,0.8462,0.76,0.35714285714285715,0.25
30,0.560695029258728,0.8464,0.65,0.14285714285714285,0.15
31,0.5480099708080292,0.8495,0.69,0.17647058823529413,0.15
32,0.5374084575653076,0.8533,0.69,0.17647058823529413,0.15
33,0.5270509948730469,0.8542,0.71,0.2857142857142857,0.3
34,0.5187779288291932,0.8579,0.78,0.4375,0.35
35,0.5099453700065613,0.8584,0.74,0.35,0.35
36,0.5022431770324707,0.8601,0.66,0.20833333333333334,0.25
