global-update-round,test-loss,test-accuracy,detection-accuracy,detection-precision,detection-recall,attack-success-rate
0,4.131238644248699,0.013986915743232207,,,,0.05482148844166674
1,4.131238644248699,0.013986915743232207,0.28,0.28,1.0,0.05482148844166674
2,4.131238644248699,0.013986915743232207,0.28,0.28,1.0,0.05482148844166674
3,4.131238644248699,0.013986915743232207,0.28,0.28,1.0,0.05482148844166674
4,3.46379660167953,0.21411930572629662,1.0,1.0,1.0,0.26612965621588164
5,2.645233001345627,0.38405130541681354,1.0,1.0,1.0,0.13453057434901095
6,2.203497253823565,0.47251188500984326,1.0,1.0,1.0,0.11805060048313747
7,1.9831423240454298,0.5216853072909055,1.0,1.0,1.0,0.09284492318801957
8,1.855348821136151,0.5497107192902522,1.0,1.0,1.0,0.08763529138691402
9,1.7749462025860157,0.5673168676873878,1.0,1.0,1.0,0.08905375549117543
10,1.697135019981614,0.5849058225802292,0.99,0.9655172413793104,1.0,0.07553966111603036
11,1.649092680314064,0.5953078926781462,1.0,1.0,1.0,0.07604686949270566
12,1.6189695116436964,0.6053059154251523,1.0,1.0,1.0,0.07676039992090988
13,1.5739527958510127,0.613171943639693,1.0,1.0,1.0,0.06985720794683768
14,1.5421508161778736,0.6208402465548516,1.0,1.0,1.0,0.06967667615174987
15,1.52055959056398,0.6272706171608367,1.0,1.0,1.0,0.07088881820448234
16,1.5123230144045257,0.6308210757975636,1.0,1.0,1.0,0.0785141373589058
17,1.485778073089763,0.6371998658906665,1.0,1.0,1.0,0.07163673564127472
18,1.4769857096762036,0.64151543546848,1.0,1.0,1.0,0.06991738521186695
19,1.4548197995896637,0.6454269576953827,1.0,1.0,1.0,0.06314314452000035
20,1.4515300463555303,0.6497511240253432,1.0,1.0,1.0,0.07729339855402628
21,1.4352304245079988,0.6523903269344842,1.0,1.0,1.0,0.07017528777627813
22,1.4264992389702076,0.655244448647301,1.0,1.0,1.0,0.07171410641059807
23,1.4051080549619916,0.6593880831821738,1.0,1.0,1.0,0.06399422298255719
24,1.3915302709525013,0.6631964443833119,1.0,1.0,1.0,0.06860208213337002
25,1.4042802194485953,0.6636864592556933,1.0,1.0,1.0,0.07406961649888671
26,1.3984180873252585,0.6658270505403059,1.0,1.0,1.0,0.07016669102413109
27,1.3633737535638113,0.6718619705475272,1.0,1.0,1.0,0.06611762076287579
28,1.3583081157214683,0.6717588095217627,1.0,1.0,1.0,0.06349561135802893
29,1.3572218354931387,0.67493101106402,1.0,1.0,1.0,0.06759626213216646
30,1.3454631811552402,0.6772177471351324,1.0,1.0,1.0,0.06714063426837341
31,1.3484420475318204,0.6786448079915408,1.0,1.0,1.0,0.07394926196882817
32,1.339603877121471,0.6815591069693869,1.0,1.0,1.0,0.06892875871495749
33,1.3479207090702123,0.6822554438932971,1.0,1.0,1.0,0.06480231768437884
34,1.3216352292157734,0.685315887657643,1.0,1.0,1.0,0.06589410520705277
35,1.3248628859484173,0.6869406738134333,1.0,1.0,1.0,0.06731256931131419
