global-update-round,test-loss,test-accuracy,detection-accuracy,detection-precision,detection-recall
0,2.3204205966949463,0.0883,,,
1,2.3204205966949463,0.0883,0.28,0.28,1.0
2,2.3204205966949463,0.0883,0.28,0.28,1.0
3,2.3204205966949463,0.0883,0.28,0.28,1.0
4,2.1812279052734374,0.2724,0.73,0.5121951219512195,0.75
5,2.055373422241211,0.4835,0.7,0.47368421052631576,0.6428571428571429
6,1.9296450340270996,0.6054,0.74,0.5333333333333333,0.5714285714285714
7,1.9296450340270996,0.6054,0.74,0.5416666666666666,0.4642857142857143
8,1.8045208360671996,0.6636,0.77,0.6086956521739131,0.5
9,1.6763258197784423,0.6945,0.78,0.6153846153846154,0.5714285714285714
10,1.5538511833190918,0.715,0.77,0.5925925925925926,0.5714285714285714
11,1.4315201601028442,0.729,0.85,0.7407407407407407,0.7142857142857143
12,1.3315753229141236,0.7436,0.81,0.7142857142857143,0.5357142857142857
13,1.23700961894989,0.7542,0.82,0.6923076923076923,0.6428571428571429
14,1.1527278324127197,0.7682,0.83,0.72,0.6428571428571429
15,1.1527278324127197,0.7682,0.83,0.7619047619047619,0.5714285714285714
16,1.0718025213241578,0.7794,0.86,0.71875,0.8214285714285714
17,1.0718025213241578,0.7794,0.91,0.8518518518518519,0.8214285714285714
18,1.0094491442680358,0.7902,0.86,0.7916666666666666,0.6785714285714286
19,0.9567459615707398,0.7973,0.85,0.8095238095238095,0.6071428571428571
20,0.9074930015563965,0.8052,0.89,0.9047619047619048,0.6785714285714286
21,0.8643722710609436,0.8124,0.88,0.8333333333333334,0.7142857142857143
22,0.8312704418182373,0.8185,0.83,0.7619047619047619,0.5714285714285714
23,0.8312704418182373,0.8185,0.91,0.9523809523809523,0.7142857142857143
24,0.7964657016754151,0.8262,0.89,0.8695652173913043,0.7142857142857143
25,0.7691825736999511,0.8325,0.86,0.85,0.6071428571428571
26,0.7432126852035522,0.8358,0.88,0.9444444444444444,0.6071428571428571
27,0.7199447168350219,0.8405,0.89,1.0,0.6071428571428571
28,0.6992841827392579,0.8441,0.87,0.9411764705882353,0.5714285714285714
29,0.6793771997451782,0.8476,0.87,0.8260869565217391,0.6785714285714286
30,0.6643889347076416,0.8502,0.82,0.7777777777777778,0.5
31,0.6497826079368592,0.8523,0.78,0.625,0.5357142857142857
32,0.6359612944602966,0.8545,0.82,0.75,0.5357142857142857
33,0.6359612944602966,0.8545,0.77,0.631578947368421,0.42857142857142855
34,0.6220785342216492,0.8574,0.85,0.8095238095238095,0.6071428571428571
35,0.6081184468269348,0.8594,0.88,0.8636363636363636,0.6785714285714286
36,0.5982341228961945,0.8607,0.83,0.8235294117647058,0.5
37,0.5887824321746826,0.863,0.82,0.75,0.5357142857142857
38,0.5795464769840241,0.8648,0.83,0.7391304347826086,0.6071428571428571
39,0.5678843313694,0.8659,0.86,0.75,0.75
40,0.5572663848876953,0.8676,0.88,0.8333333333333334,0.7142857142857143
41,0.5490565114974976,0.8689,0.79,0.6206896551724138,0.6428571428571429
42,0.5421931776046753,0.8704,0.8,0.6538461538461539,0.6071428571428571
43,0.5348502447128296,0.871,0.85,0.782608695652174,0.6428571428571429
44,0.5297641285419464,0.8742,0.76,0.5769230769230769,0.5357142857142857
45,0.5235340204238892,0.8749,0.83,0.7391304347826086,0.6071428571428571
46,0.5171600012302399,0.8759,0.86,0.8181818181818182,0.6428571428571429
47,0.5171600012302399,0.8759,0.86,0.71875,0.8214285714285714
48,0.5119951661586761,0.8767,0.83,0.7619047619047619,0.5714285714285714
