global-update-round,test-loss,test-accuracy,detection-accuracy,detection-precision,detection-recall
0,2.3824822303771973,0.1274,,,
1,2.3824822303771973,0.1274,0.28,0.28,1.0
2,2.3824822303771973,0.1274,0.28,0.28,1.0
3,2.3824822303771973,0.1274,0.28,0.28,1.0
4,2.1876617553710935,0.2771,1.0,1.0,1.0
5,2.006066881752014,0.4472,1.0,1.0,1.0
6,1.8314689460754394,0.5931,1.0,1.0,1.0
7,1.6663178440093993,0.6679,1.0,1.0,1.0
8,1.6663178440093993,0.6679,1.0,1.0,1.0
9,1.5133601522445679,0.703,1.0,1.0,1.0
10,1.3764007970809937,0.7255,1.0,1.0,1.0
11,1.2574578712463378,0.7488,1.0,1.0,1.0
12,1.1560126684188843,0.764,1.0,1.0,1.0
13,1.068877630329132,0.7765,1.0,1.0,1.0
14,0.9943721035957337,0.7893,1.0,1.0,1.0
15,0.9290705682754516,0.7992,1.0,1.0,1.0
16,0.8743360822677613,0.8079,1.0,1.0,1.0
17,0.8262518827438354,0.816,1.0,1.0,1.0
18,0.7858673154830933,0.822,1.0,1.0,1.0
19,0.7485423296928406,0.8272,1.0,1.0,1.0
20,0.7168161750793457,0.8325,1.0,1.0,1.0
21,0.6886624865531922,0.8367,1.0,1.0,1.0
22,0.6637667459487915,0.8408,1.0,1.0,1.0
23,0.64191547164917,0.8443,1.0,1.0,1.0
24,0.6226087922573089,0.846,1.0,1.0,1.0
25,0.6052140620231629,0.8497,1.0,1.0,1.0
26,0.5890696731567383,0.8517,1.0,1.0,1.0
27,0.5748791840553283,0.853,1.0,1.0,1.0
28,0.5613491101264954,0.8555,1.0,1.0,1.0
29,0.5490928887844085,0.8581,1.0,1.0,1.0
30,0.5373270411491394,0.8602,1.0,1.0,1.0
31,0.5269235749721527,0.8619,1.0,1.0,1.0
32,0.5269235749721527,0.8619,1.0,1.0,1.0
33,0.5175210490703582,0.8634,1.0,1.0,1.0
34,0.5090641100883484,0.8658,1.0,1.0,1.0
35,0.5010527930259705,0.8672,1.0,1.0,1.0
36,0.4935799030780792,0.8672,1.0,1.0,1.0
37,0.4865270326137543,0.8676,1.0,1.0,1.0
38,0.47993837285041807,0.8687,1.0,1.0,1.0
39,0.4733797410011292,0.871,1.0,1.0,1.0
40,0.46739636526107786,0.8725,1.0,1.0,1.0
41,0.4617962380886078,0.8738,1.0,1.0,1.0
42,0.45665945582389833,0.8747,1.0,1.0,1.0
43,0.45161259298324585,0.8751,1.0,1.0,1.0
44,0.4468940709114075,0.8763,1.0,1.0,1.0
45,0.4424081233024597,0.8775,1.0,1.0,1.0
46,0.43813371829986575,0.8778,1.0,1.0,1.0
47,0.4339948952674866,0.8782,1.0,1.0,1.0
48,0.4303481902599335,0.879,1.0,1.0,1.0
49,0.4303481902599335,0.879,1.0,1.0,1.0
50,0.4269240888118744,0.8793,1.0,1.0,1.0
51,0.42323055577278135,0.88,1.0,1.0,1.0
52,0.41985333943367004,0.8806,1.0,1.0,1.0
53,0.416698254776001,0.8806,1.0,1.0,1.0
54,0.41392290530204773,0.8813,1.0,1.0,1.0
55,0.41123478264808655,0.8821,1.0,1.0,1.0
56,0.4085539722919464,0.883,1.0,1.0,1.0
57,0.4059225103378296,0.8837,1.0,1.0,1.0
58,0.4059225103378296,0.8837,1.0,1.0,1.0
59,0.4035112271308899,0.8836,1.0,1.0,1.0
60,0.400890670633316,0.8842,1.0,1.0,1.0
61,0.39872459149360656,0.8842,1.0,1.0,1.0
62,0.39685506892204286,0.8845,1.0,1.0,1.0
63,0.39474908041954043,0.8846,1.0,1.0,1.0
64,0.39258901472091673,0.8858,1.0,1.0,1.0
65,0.390700057888031,0.8856,1.0,1.0,1.0
66,0.390700057888031,0.8856,1.0,1.0,1.0
67,0.3883673845767975,0.8865,1.0,1.0,1.0
68,0.386505384683609,0.8871,1.0,1.0,1.0
69,0.3849874279022217,0.8871,1.0,1.0,1.0
70,0.383384469127655,0.888,1.0,1.0,1.0
71,0.3815491955757141,0.8889,1.0,1.0,1.0
72,0.37984574990272524,0.8886,1.0,1.0,1.0
73,0.3782258570432663,0.8891,1.0,1.0,1.0
74,0.3782258570432663,0.8891,1.0,1.0,1.0
75,0.37671445784568786,0.89,1.0,1.0,1.0
76,0.37544940600395205,0.8896,1.0,1.0,1.0
