global-update-round,test-loss,test-accuracy,detection-accuracy,detection-precision,detection-recall,attack-success-rate
0,2.335610646057129,0.083,,,,0.3209
1,2.335610646057129,0.083,0.28,0.28,1.0,0.3209
2,2.335610646057129,0.083,0.28,0.28,1.0,0.3209
3,2.335610646057129,0.083,0.28,0.28,1.0,0.3209
4,2.208316751098633,0.227,0.61,0.35135135135135137,0.4642857142857143,0.2492
5,2.07636777305603,0.3884,0.61,0.35135135135135137,0.4642857142857143,0.1937
6,1.9388678840637208,0.4498,0.59,0.30303030303030304,0.35714285714285715,0.223
7,1.7980628982543945,0.5071,0.54,0.2631578947368421,0.35714285714285715,0.2348
8,1.6376954822540284,0.5771,0.61,0.2962962962962963,0.2857142857142857,0.2085
9,1.479116547012329,0.61,0.63,0.2631578947368421,0.17857142857142858,0.1947
10,1.3559861206054689,0.6494,0.64,0.3,0.21428571428571427,0.1633
11,1.2619557605743408,0.68,0.66,0.3333333333333333,0.21428571428571427,0.1654
12,1.1494434906959534,0.7162,0.66,0.3333333333333333,0.21428571428571427,0.128
13,1.0625116704940796,0.7208,0.68,0.375,0.21428571428571427,0.1302
14,0.9827243171691894,0.751,0.66,0.3125,0.17857142857142858,0.1323
15,0.9438446973800659,0.7458,0.64,0.21428571428571427,0.10714285714285714,0.1406
16,0.903503058052063,0.7559,0.64,0.25,0.14285714285714285,0.1224
17,0.8621879623413086,0.7685,0.67,0.35294117647058826,0.21428571428571427,0.1195
18,0.8137198360443115,0.7795,0.65,0.3870967741935484,0.42857142857142855,0.116
19,0.7870180484771728,0.784,0.72,0.5,0.39285714285714285,0.1147
20,0.7688399266242981,0.7841,0.69,0.4117647058823529,0.25,0.1119
21,0.7529113590240478,0.7834,0.65,0.29411764705882354,0.17857142857142858,0.1174
22,0.7415848775863647,0.7818,0.68,0.35714285714285715,0.17857142857142858,0.1074
23,0.7264056116104126,0.7809,0.63,0.30434782608695654,0.25,0.1148
24,0.7011437458992005,0.7884,0.62,0.2727272727272727,0.21428571428571427,0.1026
25,0.690236038684845,0.7903,0.65,0.3333333333333333,0.25,0.1187
26,0.6770014773368835,0.7957,0.71,0.4666666666666667,0.25,0.1232
27,0.6629043102264405,0.7967,0.67,0.35294117647058826,0.21428571428571427,0.1172
28,0.6420385287284851,0.8063,0.58,0.25,0.25,0.1117
29,0.6473217188835144,0.7961,0.6,0.2692307692307692,0.25,0.1134
30,0.6328065274715423,0.8057,0.65,0.3157894736842105,0.21428571428571427,0.1237
31,0.6217328854560852,0.8094,0.67,0.35294117647058826,0.21428571428571427,0.106
32,0.6233595407962799,0.8093,0.66,0.35,0.25,0.1166
33,0.618269276046753,0.8076,0.68,0.375,0.21428571428571427,0.1101
34,0.6069714641571045,0.8127,0.71,0.4444444444444444,0.14285714285714285,0.1115
35,0.6000717421531677,0.8193,0.7,0.42857142857142855,0.21428571428571427,0.1016
36,0.603174004650116,0.8131,0.69,0.4,0.21428571428571427,0.106
37,0.5954150478839875,0.816,0.66,0.2,0.07142857142857142,0.1048
38,0.5952613466262817,0.813,0.67,0.3076923076923077,0.14285714285714285,0.105
39,0.5945380756378174,0.8127,0.72,0.5,0.21428571428571427,0.1039
40,0.5923106872081757,0.8112,0.66,0.125,0.03571428571428571,0.1071
41,0.5736729431152344,0.8194,0.69,0.38461538461538464,0.17857142857142858,0.103
42,0.5761472704410553,0.8194,0.69,0.36363636363636365,0.14285714285714285,0.1056
43,0.5704485308170318,0.82,0.66,0.25,0.10714285714285714,0.1049
44,0.5819365385532379,0.8161,0.66,0.25,0.10714285714285714,0.107
45,0.574714771270752,0.8204,0.63,0.2631578947368421,0.17857142857142858,0.1048
46,0.5813844749450684,0.8165,0.61,0.23809523809523808,0.17857142857142858,0.1162
47,0.5734566404342651,0.8178,0.68,0.3,0.10714285714285714,0.1111
48,0.5714823390960694,0.8203,0.65,0.23076923076923078,0.10714285714285714,0.1111
49,0.5690167912483215,0.8213,0.64,0.25,0.14285714285714285,0.1065
50,0.5626228232383728,0.8213,0.64,0.3,0.21428571428571427,0.1035
51,0.572380236005783,0.8176,0.63,0.2857142857142857,0.21428571428571427,0.1105
52,0.5789059991836548,0.8165,0.65,0.3157894736842105,0.21428571428571427,0.1108
53,0.5849299180984497,0.8155,0.64,0.2777777777777778,0.17857142857142858,0.1121
