global-update-round,test-loss,test-accuracy,detection-accuracy,detection-precision,detection-recall,attack-success-rate
0,2.316869711303711,0.1414,,,,0.0767
1,2.316869711303711,0.1414,0.28,0.28,1.0,0.0767
2,2.316869711303711,0.1414,0.28,0.28,1.0,0.0767
3,2.316869711303711,0.1414,0.28,0.28,1.0,0.0767
4,2.156397561645508,0.333,0.71,0.4878048780487805,0.7142857142857143,0.1246
5,2.0004536863327025,0.4896,0.68,0.4523809523809524,0.6785714285714286,0.1538
6,1.8465941230773926,0.5963,0.67,0.41379310344827586,0.42857142857142855,0.1564
7,1.6938728364944458,0.6627,0.75,0.5555555555555556,0.5357142857142857,0.1434
8,1.547627667236328,0.6992,0.79,0.6521739130434783,0.5357142857142857,0.1364
9,1.547627667236328,0.6992,0.74,0.5384615384615384,0.5,0.1364
10,1.4122227485656738,0.726,0.72,0.5,0.5,0.131
11,1.2907207153320313,0.7406,0.78,0.625,0.5357142857142857,0.1223
12,1.1843105115890502,0.7579,0.79,0.6521739130434783,0.5357142857142857,0.1198
13,1.091194720172882,0.7702,0.79,0.7058823529411765,0.42857142857142855,0.1166
14,1.0100249311447143,0.7852,0.8,0.7,0.5,0.1126
15,0.9423738182067871,0.7939,0.82,0.7777777777777778,0.5,0.1111
16,0.8864724322319031,0.8027,0.85,0.8095238095238095,0.6071428571428571,0.1084
17,0.835782082748413,0.8112,0.82,0.7777777777777778,0.5,0.1083
18,0.7909028659820556,0.8186,0.77,0.5925925925925926,0.5714285714285714,0.1081
19,0.7529069723129272,0.8271,0.72,0.5,0.6428571428571429,0.1073
20,0.7197439074039459,0.8318,0.78,0.6,0.6428571428571429,0.1062
21,0.6909536304950714,0.8371,0.82,0.6923076923076923,0.6428571428571429,0.1056
22,0.6658123671531677,0.8391,0.81,0.7142857142857143,0.5357142857142857,0.1057
23,0.6433695887565613,0.8428,0.77,0.6666666666666666,0.35714285714285715,0.1059
24,0.622722124004364,0.8458,0.83,0.8235294117647058,0.5,0.1054
25,0.6047071124076844,0.8498,0.76,0.6,0.42857142857142855,0.1058
26,0.5880370924472809,0.8523,0.82,0.7777777777777778,0.5,0.1049
27,0.572741405916214,0.8561,0.81,0.7142857142857143,0.5357142857142857,0.1056
28,0.5591092782020569,0.8571,0.77,0.631578947368421,0.42857142857142855,0.1041
29,0.5469368420600891,0.8596,0.78,0.6666666666666666,0.42857142857142855,0.1049
30,0.5358772547721863,0.8598,0.79,0.7058823529411765,0.42857142857142855,0.1053
31,0.5255331454277039,0.8617,0.82,0.7272727272727273,0.5714285714285714,0.1047
32,0.5160416275501252,0.8631,0.73,0.5238095238095238,0.39285714285714285,0.1047
33,0.5074770914077759,0.8645,0.75,0.5714285714285714,0.42857142857142855,0.1049
34,0.49839786791801455,0.8666,0.83,0.7894736842105263,0.5357142857142857,0.1042
35,0.4917181184768677,0.8676,0.8,0.7,0.5,0.1049
36,0.4853589467525482,0.8673,0.81,0.6956521739130435,0.5714285714285714,0.1055
37,0.4784670063972473,0.8695,0.78,0.6666666666666666,0.42857142857142855,0.1057
38,0.4784670063972473,0.8695,0.81,0.6956521739130435,0.5714285714285714,0.1057
39,0.4720346828460693,0.8692,0.79,0.6842105263157895,0.4642857142857143,0.1058
40,0.4659851135730743,0.8704,0.78,0.6363636363636364,0.5,0.1063
41,0.4601456247329712,0.8724,0.77,0.6,0.5357142857142857,0.1055
42,0.45478581609725954,0.8721,0.77,0.6470588235294118,0.39285714285714285,0.1058
43,0.4496078612327576,0.8736,0.79,0.7058823529411765,0.42857142857142855,0.1056
44,0.44514284057617187,0.8754,0.77,0.6470588235294118,0.39285714285714285,0.105
45,0.4409552907466888,0.8757,0.77,0.6190476190476191,0.4642857142857143,0.1053
46,0.4374209557056427,0.8771,0.8,0.6666666666666666,0.5714285714285714,0.1054
47,0.4330939703941345,0.8777,0.79,0.6521739130434783,0.5357142857142857,0.1052
48,0.4294049111843109,0.8782,0.76,0.5625,0.6428571428571429,0.1058
49,0.4260672919511795,0.8783,0.79,0.64,0.5714285714285714,0.106
50,0.4223601383924484,0.8806,0.79,0.6296296296296297,0.6071428571428571,0.1053
51,0.41943174510002135,0.8815,0.82,0.6785714285714286,0.6785714285714286,0.1049
52,0.4164375748157501,0.8823,0.74,0.5294117647058824,0.6428571428571429,0.1051
53,0.41317917432785034,0.8826,0.81,0.6363636363636364,0.75,0.105
54,0.4107356449842453,0.8829,0.76,0.55,0.7857142857142857,0.1059
55,0.40780526609420775,0.8836,0.76,0.5625,0.6428571428571429,0.1058
56,0.40503657541275023,0.8848,0.79,0.6060606060606061,0.7142857142857143,0.1054
57,0.40305863432884215,0.8845,0.88,0.75,0.8571428571428571,0.1052
58,0.40305863432884215,0.8845,0.81,0.6363636363636364,0.75,0.1052
59,0.40024334053993227,0.885,0.86,0.7333333333333333,0.7857142857142857,0.1053
60,0.39764223546981814,0.8851,0.84,0.75,0.6428571428571429,0.1051
61,0.395847372841835,0.885,0.81,0.7142857142857143,0.5357142857142857,0.1053
62,0.3936235191822052,0.8853,0.82,0.7083333333333334,0.6071428571428571,0.1051
63,0.3915460024833679,0.8861,0.8,0.6666666666666666,0.5714285714285714,0.1047
64,0.38948912048339845,0.8867,0.85,0.782608695652174,0.6428571428571429,0.1046
65,0.38739387185573576,0.8882,0.83,0.7619047619047619,0.5714285714285714,0.1053
66,0.38739387185573576,0.8882,0.75,0.5483870967741935,0.6071428571428571,0.1053
67,0.38545939807891844,0.889,0.79,0.6206896551724138,0.6428571428571429,0.1052
68,0.38370571613311766,0.8889,0.81,0.68,0.6071428571428571,0.1054
69,0.3817980067253113,0.8882,0.84,0.8333333333333334,0.5357142857142857,0.1051
70,0.38029707446098326,0.8888,0.85,0.76,0.6785714285714286,0.1052
71,0.37906957261562346,0.8892,0.89,0.84,0.75,0.1057
72,0.3778748547077179,0.89,0.84,0.7307692307692307,0.6785714285714286,0.1059
73,0.37644174344539644,0.8894,0.85,0.76,0.6785714285714286,0.1061
74,0.3749618531703949,0.8904,0.89,0.9473684210526315,0.6428571428571429,0.106
75,0.37353463351726535,0.89,0.82,0.7777777777777778,0.5,0.1054
76,0.3719981329679489,0.8903,0.84,0.8333333333333334,0.5357142857142857,0.1051
77,0.37112496671676637,0.8907,0.83,0.8666666666666667,0.4642857142857143,0.1056
78,0.3701888198375702,0.8911,0.83,0.8235294117647058,0.5,0.1057
79,0.3701888198375702,0.8911,0.84,0.9285714285714286,0.4642857142857143,0.1057
80,0.3693648919343948,0.8912,0.78,0.625,0.5357142857142857,0.1064
81,0.3677221385717392,0.8915,0.79,0.6666666666666666,0.5,0.1057
82,0.3664367848157883,0.8924,0.82,0.7272727272727273,0.5714285714285714,0.1056
83,0.3650108145236969,0.8935,0.81,0.7368421052631579,0.5,0.1053
84,0.3642218096256256,0.8943,0.8,0.7,0.5,0.1056
85,0.3630677188873291,0.8941,0.83,0.7619047619047619,0.5714285714285714,0.1057
86,0.3617239191055298,0.8948,0.79,0.6666666666666666,0.5,0.1055
87,0.360818169260025,0.8955,0.81,0.68,0.6071428571428571,0.1053
88,0.3599740061759949,0.8956,0.84,0.8,0.5714285714285714,0.1056
89,0.3591830060958862,0.8953,0.82,0.7272727272727273,0.5714285714285714,0.1054
90,0.3586791319131851,0.8956,0.82,0.75,0.5357142857142857,0.1062
91,0.3577647743463516,0.8953,0.85,0.782608695652174,0.6428571428571429,0.106
92,0.3568520570755005,0.896,0.82,0.7083333333333334,0.6071428571428571,0.1062
93,0.3552639336585999,0.8968,0.84,0.8,0.5714285714285714,0.1059
94,0.35460665061473845,0.8965,0.84,0.75,0.6428571428571429,0.1053
95,0.35368683054447175,0.8974,0.87,0.8571428571428571,0.6428571428571429,0.1052
96,0.35298354485034944,0.8967,0.86,0.7916666666666666,0.6785714285714286,0.105
97,0.35224844772815705,0.8974,0.86,0.85,0.6071428571428571,0.1049
98,0.35082586991786957,0.897,0.8,0.7222222222222222,0.4642857142857143,0.1049
99,0.3498763468503952,0.8981,0.83,0.7894736842105263,0.5357142857142857,0.1047
100,0.3493042004823685,0.8977,0.81,0.7647058823529411,0.4642857142857143,0.105
