global-update-round,test-loss,test-accuracy,detection-accuracy,detection-precision,detection-recall
0,0.6507458693124784,0.6331557619633019,,,
1,0.6507458693124784,0.6331557619633019,0.28888888888888886,0.28888888888888886,1.0
2,0.6507458693124784,0.6331557619633019,0.28888888888888886,0.28888888888888886,1.0
3,0.6507458693124784,0.6331557619633019,0.28888888888888886,0.28888888888888886,1.0
4,0.5332806654132325,0.7841369576105268,0.8666666666666667,0.6842105263157895,1.0
5,0.4905956068396302,0.7940172107635569,0.8666666666666667,0.6842105263157895,1.0
6,0.4580013283570325,0.804625961844921,0.9111111111111111,0.7647058823529411,1.0
7,0.43988734994197115,0.8129581569002413,1.0,1.0,1.0
8,0.42745229565358545,0.8171925511086828,0.9777777777777777,0.9285714285714286,1.0
9,0.419238809667986,0.8183308291217047,1.0,1.0,1.0
10,0.4133001715792923,0.8223830988480626,1.0,1.0,1.0
11,0.4119086783803867,0.824477530392023,1.0,1.0,1.0
12,0.4084784929334306,0.8240222191868142,1.0,1.0,1.0
13,0.4054350265685649,0.82484177935619,1.0,1.0,1.0
14,0.4032479387670735,0.8265719619359833,1.0,1.0,1.0
15,0.4024364343948965,0.827027273141192,1.0,1.0,1.0
16,0.40201118952784115,0.8268906797796294,1.0,1.0,1.0
17,0.40145767672446314,0.8267085552975458,1.0,1.0,1.0
18,0.40054828821133703,0.8274370532258799,0.9555555555555556,1.0,0.8461538461538461
19,0.399730974992963,0.827391522105359,0.9777777777777777,1.0,0.9230769230769231
20,0.3984720026627702,0.8287574557209852,1.0,1.0,1.0
21,0.3984488311081165,0.8289851113235897,0.9777777777777777,1.0,0.9230769230769231
22,0.39929725087872786,0.8278468333105677,0.9777777777777777,1.0,0.9230769230769231
23,0.3986789063504608,0.8285753312389018,0.9777777777777777,1.0,0.9230769230769231
24,0.39901978067593386,0.8288485179620271,0.9555555555555556,1.0,0.8461538461538461
25,0.3973209169378525,0.8297591403724446,1.0,1.0,1.0
26,0.3960665247671885,0.8297136092519237,0.9777777777777777,1.0,0.9230769230769231
27,0.39557582828476745,0.8306242316623412,0.9777777777777777,1.0,0.9230769230769231
28,0.39520978363128123,0.8298957337340072,0.9777777777777777,1.0,0.9230769230769231
29,0.39383667314204013,0.8305331694212995,1.0,1.0,1.0
30,0.39538788770503625,0.8303055138186951,1.0,1.0,1.0
31,0.39490116629852157,0.8308518872649456,1.0,1.0,1.0
32,0.3929038304196612,0.8309884806265082,1.0,1.0,1.0
33,0.39263261821878653,0.8305331694212995,1.0,1.0,1.0
34,0.39238165788668317,0.8305787005418204,1.0,1.0,1.0
35,0.39353269302513366,0.8305787005418204,1.0,1.0,1.0
36,0.39215999091848813,0.8311250739880709,1.0,1.0,1.0
37,0.3920994978624523,0.8313527295906752,1.0,1.0,1.0
38,0.38983219811777725,0.8329918499294268,1.0,1.0,1.0
39,0.3902054364491382,0.8324454764831762,1.0,1.0,1.0
40,0.3899119689165718,0.832172289760051,1.0,1.0,1.0
41,0.39120255435842344,0.8314893229522379,1.0,1.0,1.0
42,0.3897835297678542,0.8322633520010927,1.0,1.0,1.0
43,0.38987152944338244,0.8316714474343213,1.0,1.0,1.0
44,0.38866760205013234,0.8318991030369257,1.0,1.0,1.0
45,0.3874332649169472,0.8329463188089059,1.0,1.0,1.0
46,0.38643170184669656,0.8336748167372399,1.0,1.0,1.0
47,0.3866045275156992,0.8335382233756773,1.0,1.0,1.0
48,0.38765473214458507,0.8324910076036971,1.0,1.0,1.0
49,0.3864970178121709,0.8339024723398443,1.0,1.0,1.0
50,0.3868511072551434,0.833629285616719,1.0,1.0,1.0
51,0.3875398233560723,0.8332195055320312,1.0,1.0,1.0
52,0.3867983535594998,0.8336748167372399,1.0,1.0,1.0
53,0.38585904249971054,0.8349952192323453,1.0,1.0,1.0
54,0.38539246890147905,0.8352228748349497,1.0,1.0,1.0
55,0.38351046411043327,0.835496061558075,1.0,1.0,1.0
56,0.3838678999241978,0.8354049993170332,1.0,1.0,1.0
57,0.384512246808453,0.8351773437144289,1.0,1.0,1.0
58,0.3856137618771919,0.8346309702681783,0.9555555555555556,1.0,0.8461538461538461
59,0.38654944701625293,0.8337658789782817,0.9333333333333333,1.0,0.7692307692307693
60,0.38363289855865323,0.8363611528479716,1.0,1.0,1.0
61,0.3823316576528304,0.8372717752583891,1.0,1.0,1.0
62,0.3814013441669666,0.8368164640531803,0.9777777777777777,1.0,0.9230769230769231
63,0.3826210250979547,0.8370441196557847,1.0,1.0,1.0
64,0.3814169305088318,0.8370441196557847,1.0,1.0,1.0
65,0.3805355175495777,0.83731730637891,1.0,1.0,1.0
66,0.38084110666351534,0.8372262441378683,1.0,1.0,1.0
67,0.3804523043091254,0.8370896507763056,1.0,1.0,1.0
68,0.38166811613525703,0.8368619951737012,1.0,1.0,1.0
69,0.3822154725655796,0.8357692482812002,1.0,1.0,1.0
70,0.38310549933635835,0.8349041569913036,1.0,1.0,1.0
71,0.381384926231345,0.8351318125939079,1.0,1.0,1.0
72,0.3805649896812847,0.8366343395710969,1.0,1.0,1.0
73,0.3804921057197895,0.8364522150890134,1.0,1.0,1.0
74,0.37958212792859813,0.8378181487046397,1.0,1.0,1.0
75,0.3794962575091195,0.8380913354277649,1.0,1.0,1.0
76,0.380060353935001,0.8371807130173473,1.0,1.0,1.0
77,0.3801233866487984,0.8373628374994309,1.0,1.0,1.0
78,0.3798944400925782,0.8372717752583891,1.0,1.0,1.0
79,0.38083373856002806,0.8371351818968265,1.0,1.0,1.0
80,0.38068640534410886,0.8375449619815144,1.0,1.0,1.0
81,0.3798825914393095,0.8381823976688066,1.0,1.0,1.0
82,0.3792318120406787,0.8374538997404726,1.0,1.0,1.0
83,0.3792312889375284,0.8379092109456814,1.0,1.0,1.0
84,0.37937213677295717,0.8380913354277649,1.0,1.0,1.0
85,0.3799049672883743,0.8379547420662022,1.0,1.0,1.0
86,0.37770871871189576,0.8385466466329736,1.0,1.0,1.0
87,0.37747256990198347,0.8383189910303692,1.0,1.0,1.0
88,0.3786148021701298,0.8383189910303692,1.0,1.0,1.0
89,0.37833642062933315,0.838410053271411,0.9777777777777777,1.0,0.9230769230769231
90,0.37781090676249884,0.8385921777534945,1.0,1.0,1.0
91,0.37739641570992816,0.838774302235578,1.0,1.0,1.0
92,0.3775060461153995,0.838045804307244,1.0,1.0,1.0
93,0.37808896474530396,0.8369985885352639,0.9777777777777777,1.0,0.9230769230769231
94,0.37765077942572606,0.8380002731867231,1.0,1.0,1.0
95,0.37744613439122854,0.838045804307244,1.0,1.0,1.0
96,0.37739232986485627,0.8387287711150572,1.0,1.0,1.0
97,0.37826505167825253,0.8378181487046397,1.0,1.0,1.0
