global-update-round,test-loss,test-accuracy,train-loss,train-accuracy
0,2.3682302757263183,0.0798,2.367095840962728,0.08508333333333333
1,1.3906585832595826,0.7015,1.4048766136169433,0.6877
2,0.5721104822635651,0.8489,0.5927691055297851,0.83835
3,0.517816303730011,0.8487,0.5450956212679545,0.8343
4,0.4417493214607239,0.8716,0.4634009232521057,0.8670833333333333
5,0.3752445031166077,0.8904,0.39129665921529133,0.8862666666666666
6,0.34693638453483583,0.8976,0.36241956211725873,0.89355
7,0.3337309832572937,0.9027,0.3472340215524038,0.8985
8,0.32511854529380796,0.9034,0.33728339026769,0.8995166666666666
9,0.3458366889476776,0.9039,0.35488788204193117,0.90125
10,0.28940467557907107,0.9144,0.29821353905995684,0.9108333333333334
11,0.29817109212875365,0.913,0.30748786067962647,0.9112833333333333
12,0.2798826543331146,0.9195,0.28797816292444867,0.91685
13,0.2729272998571396,0.9185,0.28176507881482443,0.9160833333333334
14,0.25987953631877897,0.9245,0.2686605803012848,0.9211
15,0.25523169655799866,0.9244,0.2633772839864095,0.9218833333333334
16,0.26390785665512084,0.9232,0.273473960240682,0.9205833333333333
17,0.24906377515792846,0.9254,0.25754018263816836,0.9240333333333334
18,0.2526372433900833,0.9257,0.2613627491315206,0.9243333333333333
19,0.24348213963508605,0.9291,0.2515116861661275,0.9281833333333334
20,0.24691337599754334,0.9289,0.2538038493156433,0.9284166666666667
21,0.2716085847377777,0.925,0.2783944789568583,0.9263
22,0.2774118972539902,0.9196,0.2860317186355591,0.9190333333333334
23,0.2873140719652176,0.9204,0.29541428335507713,0.9236666666666666
24,0.28765897035598753,0.9173,0.29649450130462646,0.9186333333333333
25,0.2953647828578949,0.9153,0.304208079735438,0.9163833333333333
26,0.297435267496109,0.915,0.30625372600555417,0.9150833333333334
27,0.3071991211414337,0.9113,0.3160552742481232,0.9115333333333333
28,0.28410946869850157,0.9191,0.2919474104404449,0.9185333333333333
29,0.2836960118293762,0.9192,0.2919576181093852,0.9186333333333333
30,0.28638688623905184,0.9222,0.2939047816912333,0.92085
31,0.29228459663391115,0.9145,0.30053658396402994,0.9148
32,0.2832530090332031,0.9219,0.2909994284470876,0.9216333333333333
33,0.3041726989030838,0.916,0.3127005211035411,0.9155333333333333
34,0.29362908356189726,0.9154,0.3043614984512329,0.9130333333333334
35,0.27673998210430145,0.921,0.28507790541648864,0.9194
36,0.2611490788936615,0.9237,0.26965174741744996,0.9224333333333333
37,0.25603080701828,0.9297,0.2633982039769491,0.9271333333333334
38,0.25238058695793153,0.9266,0.258303780968984,0.92625
39,0.25527384531497954,0.9277,0.2612451375325521,0.9281666666666667
40,0.25481927437782287,0.9282,0.26149880401293435,0.92785
41,0.27072799308300016,0.9247,0.2757438187599182,0.9234166666666667
42,0.27823634634017946,0.9184,0.284667840051651,0.9190166666666667
43,0.2601930973291397,0.9233,0.2655718192100525,0.92485
44,0.2531865324497223,0.927,0.25921385114987694,0.9278833333333333
45,0.25144834475517275,0.929,0.2570081944783529,0.9296666666666666
46,0.27077455093860625,0.9262,0.27814050319989525,0.9244166666666667
47,0.2842348627567291,0.9208,0.29095559221903483,0.9200833333333334
48,0.2784537168979645,0.9219,0.2862793300310771,0.9223
49,0.2887602305173874,0.9212,0.2958557411670685,0.9205833333333333
50,0.2903720206975937,0.9198,0.29784854798316956,0.9192166666666667
51,0.30107718291282654,0.9176,0.3086772330125173,0.9173
52,0.29347828598022463,0.9182,0.3009873080730438,0.919
53,0.29532706208229065,0.917,0.3024986749966939,0.9174666666666667
54,0.2940492500305176,0.9165,0.3022668662707011,0.9168833333333334
55,0.265511918759346,0.924,0.2741676686445872,0.9227666666666666
56,0.27511843552589416,0.9231,0.2839446931997935,0.9216333333333333
57,0.26618830630779267,0.9244,0.27458393624623617,0.9235333333333333
58,0.26299733803272246,0.923,0.2699817674001058,0.9212333333333333
59,0.24208590219020842,0.9284,0.24999004907608033,0.9274
60,0.23853280484676362,0.9317,0.24524987445672353,0.9313333333333333
61,0.23216587586402893,0.9312,0.2383613573551178,0.9303333333333333
62,0.24145322592258453,0.9288,0.246077543592453,0.9288666666666666
63,0.23727988073825837,0.9338,0.2423601024945577,0.9330666666666667
64,0.25288962936401366,0.9309,0.25780907060305275,0.9299166666666666
65,0.2551731526851654,0.9282,0.26211147356033326,0.9270333333333334
66,0.2726283234477043,0.9225,0.2767409362951914,0.92225
67,0.25976654393672943,0.9275,0.26469934021631875,0.9263
68,0.2605580829143524,0.9276,0.26474134459495546,0.9273666666666667
69,0.2627334503412247,0.9261,0.26778238037427265,0.9248166666666666
70,0.2575906195163727,0.9263,0.2621211794535319,0.92565
71,0.26651669907569886,0.9275,0.27052260594367983,0.9273333333333333
72,0.27117186863422393,0.9251,0.27655632541974384,0.9231166666666667
73,0.266572358417511,0.9228,0.2726981595357259,0.9221666666666667
74,0.24649304556846618,0.9273,0.2523441822528839,0.92785
75,0.23393715105056762,0.933,0.23980965421994527,0.9323333333333333
76,0.22794524915218353,0.9327,0.23359014105002085,0.93355
77,0.2294915652513504,0.9326,0.2349460600535075,0.9327333333333333
78,0.23877724792957306,0.9321,0.2447725118001302,0.9328833333333333
79,0.238163638150692,0.9307,0.24281806780497234,0.9313333333333333
80,0.26519709277153014,0.9297,0.2707986447493235,0.9292
81,0.27280830483436586,0.9237,0.2781327790737152,0.9238
82,0.2753759216785431,0.9242,0.2813864570140839,0.9250333333333334
83,0.30206638197898866,0.924,0.30838098041216533,0.9239333333333334
84,0.3119204676389694,0.9189,0.3181435281912486,0.9174333333333333
85,0.31817917566299436,0.9116,0.3253750748316447,0.9103833333333333
86,0.2886769817113876,0.9208,0.2975566601435343,0.9194
87,0.27329121582508087,0.9222,0.28146364334424334,0.92015
88,0.2461412384748459,0.9305,0.2540309634367625,0.9292333333333334
89,0.25296467287540436,0.9273,0.26021114830970765,0.9270833333333334
90,0.2594321655511856,0.928,0.26622467147509254,0.92715
91,0.2616751673221588,0.9273,0.2683863965511322,0.9273
92,0.2846579480648041,0.924,0.29186132893562317,0.924
93,0.29654827189445493,0.9231,0.30487946767807006,0.9205333333333333
94,0.2986294615030289,0.9182,0.30721766012509666,0.9166333333333333
