global-update-round,test-loss,test-accuracy,detection-accuracy,detection-precision,detection-recall,attack-success-rate
0,2.365281948852539,0.0841,,,,0.0001
1,2.365281948852539,0.0841,0.28,0.28,1.0,0.0001
2,2.365281948852539,0.0841,0.28,0.28,1.0,0.0001
3,2.365281948852539,0.0841,0.28,0.28,1.0,0.0001
4,2.365281948852539,0.0841,0.63,0.40816326530612246,0.7142857142857143,0.0001
5,2.214763996887207,0.2067,0.65,0.425531914893617,0.7142857142857143,0.0007
6,2.0706400928497315,0.442,0.73,0.5151515151515151,0.6071428571428571,0.0235
7,1.9177802576065064,0.6255,0.73,0.5185185185185185,0.5,0.0769
8,1.9177802576065064,0.6255,0.77,0.6,0.5357142857142857,0.0769
9,1.7613746395111085,0.6912,0.78,0.65,0.4642857142857143,0.1113
10,1.6072242902755738,0.7175,0.81,0.7142857142857143,0.5357142857142857,0.1232
11,1.4661611482620238,0.7262,0.83,0.8235294117647058,0.5,0.127
12,1.339748547554016,0.735,0.8,0.6666666666666666,0.5714285714285714,0.1255
13,1.2298200275421143,0.7483,0.79,0.6666666666666666,0.5,0.1238
14,1.134843295288086,0.7601,0.83,0.8235294117647058,0.5,0.1208
15,1.051196441936493,0.7706,0.85,0.8421052631578947,0.5714285714285714,0.1157
16,0.9801310976028442,0.781,0.8,0.7857142857142857,0.39285714285714285,0.1145
17,0.9177751314163208,0.7947,0.77,0.6923076923076923,0.32142857142857145,0.1107
18,0.9177751314163208,0.7947,0.79,0.7692307692307693,0.35714285714285715,0.1107
19,0.8654789524078369,0.8037,0.76,0.6111111111111112,0.39285714285714285,0.1097
20,0.8196999982833862,0.8125,0.8,0.75,0.42857142857142855,0.1082
21,0.7783610912322998,0.8221,0.82,0.7777777777777778,0.5,0.107
22,0.7420448741912842,0.8281,0.84,0.9285714285714286,0.4642857142857143,0.1068
23,0.7103424018859863,0.8338,0.88,0.8076923076923077,0.75,0.1064
24,0.6824790105819702,0.8394,0.85,0.782608695652174,0.6428571428571429,0.1064
25,0.6577936508178711,0.8443,0.84,0.75,0.6428571428571429,0.1066
26,0.6358860732555389,0.8458,0.82,0.6785714285714286,0.6785714285714286,0.1066
27,0.6159075489044189,0.8514,0.81,0.68,0.6071428571428571,0.1061
28,0.5988915134906769,0.8549,0.8,0.7,0.5,0.1059
29,0.5988915134906769,0.8549,0.8,0.7222222222222222,0.4642857142857143,0.1059
