global-update-round,test-loss,test-accuracy,detection-accuracy,detection-precision,detection-recall,attack-success-rate
0,0.6251181988194412,0.7513090197149752,,,,0.15221053590128852
1,0.6251181988194412,0.7513090197149752,0.28888888888888886,0.28888888888888886,1.0,0.15221053590128852
2,0.6251181988194412,0.7513090197149752,0.28888888888888886,0.28888888888888886,1.0,0.15221053590128852
3,0.6251181988194412,0.7513090197149752,0.28888888888888886,0.28888888888888886,1.0,0.15221053590128852
4,0.5210820006004194,0.7760779492783317,1.0,1.0,1.0,0.0
5,0.4855959188448017,0.7902381277603242,1.0,1.0,1.0,0.0005008423257296362
6,0.4625619224732796,0.7987979784182488,1.0,1.0,1.0,0.0019123070618767928
7,0.4460102688857497,0.8053999908937759,1.0,1.0,1.0,0.0030505850748986933
8,0.4361315762275328,0.8088148249328416,1.0,1.0,1.0,0.004097800846878842
9,0.42858333255035036,0.8124573145745116,1.0,1.0,1.0,0.006101170149797387
10,0.4229640284180777,0.8172380822292037,1.0,1.0,1.0,0.00983472203250922
11,0.4185716513265641,0.8184674224832673,1.0,1.0,1.0,0.0112006556481355
12,0.41510882720874315,0.8204707917861859,1.0,1.0,1.0,0.013659336156262806
13,0.4126949652901212,0.8223830988480626,1.0,1.0,1.0,0.016618858990119747
14,0.4106915858047764,0.8242498747894186,1.0,1.0,1.0,0.019578381823976688
15,0.4087451225648632,0.8245685926330647,1.0,1.0,1.0,0.019623912944497564
16,0.40684223583214313,0.8251149660793152,1.0,1.0,1.0,0.01989709966762282
17,0.40554857230146296,0.8254336839229613,1.0,1.0,1.0,0.02149068888585348
18,0.4042503140215089,0.8261621818512953,1.0,1.0,1.0,0.023129809224605016
19,0.4027777471943142,0.8267540864180668,1.0,1.0,1.0,0.02171834448845786
20,0.401679308303842,0.8275736465874425,1.0,1.0,1.0,0.0235395893092929
21,0.40035333113663185,0.8284387378773391,1.0,1.0,1.0,0.023994900514501663
22,0.3996676429071502,0.828529800118381,1.0,1.0,1.0,0.02426808723762692
23,0.39893809369215794,0.8291672358056732,1.0,1.0,1.0,0.025360834130127942
