global-update-round,test-loss,test-accuracy,detection-accuracy,detection-precision,detection-recall
0,2.355818200683594,0.0635,,,
1,2.355818200683594,0.0635,0.28,0.28,1.0
2,2.355818200683594,0.0635,0.28,0.28,1.0
3,2.355818200683594,0.0635,0.28,0.28,1.0
4,2.183845711517334,0.2374,0.63,0.3333333333333333,0.32142857142857145
5,2.031044602203369,0.4226,0.6,0.3333333333333333,0.42857142857142855
6,1.8775598300933838,0.5629,0.56,0.2647058823529412,0.32142857142857145
7,1.7206019256591798,0.6236,0.59,0.25925925925925924,0.25
8,1.5597913162231445,0.6634,0.63,0.2631578947368421,0.17857142857142858
9,1.5597913162231445,0.6634,0.63,0.2631578947368421,0.17857142857142858
10,1.431310041618347,0.6838,0.52,0.14285714285714285,0.14285714285714285
11,1.3042233652114867,0.7137,0.58,0.20833333333333334,0.17857142857142858
12,1.199453346824646,0.7187,0.63,0.2857142857142857,0.21428571428571427
13,1.1111091981887817,0.734,0.65,0.29411764705882354,0.17857142857142858
14,1.0288947063446046,0.745,0.66,0.36363636363636365,0.2857142857142857
15,0.9675047563552857,0.7582,0.51,0.21621621621621623,0.2857142857142857
16,0.9119611874580383,0.7623,0.56,0.23333333333333334,0.25
17,0.8609423017501832,0.7699,0.58,0.25,0.25
18,0.8155911241531372,0.7813,0.58,0.23076923076923078,0.21428571428571427
19,0.775308221912384,0.7952,0.52,0.20588235294117646,0.25
20,0.7451069705963135,0.8003,0.6,0.2692307692307692,0.25
21,0.7175965783596039,0.8059,0.59,0.19047619047619047,0.14285714285714285
22,0.6896574117660522,0.816,0.59,0.19047619047619047,0.14285714285714285
23,0.6651147681236267,0.8217,0.59,0.0,0.0
24,0.6461275624275208,0.8274,0.65,0.3157894736842105,0.21428571428571427
25,0.6254245557785034,0.8329,0.57,0.2,0.17857142857142858
26,0.611418471622467,0.8351,0.59,0.21739130434782608,0.17857142857142858
27,0.5953402418136596,0.8419,0.57,0.2,0.17857142857142858
28,0.5830230360984803,0.8441,0.62,0.2222222222222222,0.14285714285714285
29,0.572284033870697,0.8474,0.66,0.2857142857142857,0.14285714285714285
30,0.5628080299377441,0.8491,0.69,0.4117647058823529,0.25
31,0.5504804091453552,0.8505,0.71,0.46153846153846156,0.21428571428571427
32,0.5376421557426453,0.8528,0.67,0.3076923076923077,0.14285714285714285
33,0.529239921951294,0.8557,0.63,0.2631578947368421,0.17857142857142858
34,0.521787929725647,0.8569,0.7,0.4583333333333333,0.39285714285714285
35,0.5123905814170837,0.8587,0.7,0.45,0.32142857142857145
36,0.5037117811203002,0.8606,0.69,0.42105263157894735,0.2857142857142857
37,0.49549658708572386,0.8615,0.66,0.3125,0.17857142857142858
38,0.49021284651756286,0.8627,0.67,0.3333333333333333,0.17857142857142858
39,0.4824546706676483,0.8667,0.65,0.3333333333333333,0.25
40,0.48120388441085815,0.8656,0.68,0.375,0.21428571428571427
41,0.47686970839500425,0.8644,0.67,0.35294117647058826,0.21428571428571427
42,0.4741991310596466,0.8646,0.69,0.36363636363636365,0.14285714285714285
43,0.46789121532440187,0.865,0.68,0.35714285714285715,0.17857142857142858
44,0.4606713604927063,0.8687,0.61,0.13333333333333333,0.07142857142857142
45,0.4579642698287964,0.8684,0.69,0.3333333333333333,0.10714285714285714
46,0.4537224132537842,0.8678,0.63,0.15384615384615385,0.07142857142857142
