global-update-round,test-loss,test-accuracy,detection-accuracy,detection-precision,detection-recall
0,2.3432578002929687,0.1025,,,
1,2.3432578002929687,0.1025,0.28,0.28,1.0
2,2.3432578002929687,0.1025,0.28,0.28,1.0
3,2.3432578002929687,0.1025,0.28,0.28,1.0
4,2.204068460845947,0.2878,0.73,0.5142857142857142,0.6428571428571429
5,2.055834646606445,0.477,0.72,0.5,0.8214285714285714
6,1.8974775295257569,0.5877,0.74,0.52,0.9285714285714286
7,1.7578643939971923,0.6516,0.8,0.6176470588235294,0.75
8,1.628992071723938,0.6814,0.8,0.6428571428571429,0.6428571428571429
9,1.628992071723938,0.6814,0.82,0.6923076923076923,0.6428571428571429
10,1.514290825843811,0.7036,0.83,0.7894736842105263,0.5357142857142857
11,1.401412815475464,0.7208,0.86,0.7916666666666666,0.6785714285714286
12,1.314642359161377,0.7384,0.81,0.7368421052631579,0.5
13,1.2393805332183838,0.7483,0.8,0.7857142857142857,0.39285714285714285
14,1.158649829864502,0.7571,0.85,0.8095238095238095,0.6071428571428571
15,1.0954442733764649,0.7708,0.81,0.7647058823529411,0.4642857142857143
16,1.0459790817260741,0.7863,0.78,0.7142857142857143,0.35714285714285715
17,1.0021807297706604,0.7921,0.8,0.75,0.42857142857142855
18,0.953259701347351,0.7991,0.86,0.8888888888888888,0.5714285714285714
19,0.918266552734375,0.8121,0.79,0.7333333333333333,0.39285714285714285
20,0.881522875881195,0.8189,0.83,0.8235294117647058,0.5
21,0.8485925200462341,0.8239,0.82,0.75,0.5357142857142857
22,0.8194282554626465,0.8313,0.84,0.875,0.5
23,0.7942002777099609,0.8353,0.79,0.6842105263157895,0.4642857142857143
24,0.7942002777099609,0.8353,0.8,0.7,0.5
25,0.7778243110656738,0.8365,0.76,0.6428571428571429,0.32142857142857145
26,0.754230571937561,0.8373,0.77,0.5862068965517241,0.6071428571428571
27,0.7365548733711242,0.8426,0.76,0.5833333333333334,0.5
28,0.7365548733711242,0.8426,0.79,0.7058823529411765,0.42857142857142855
29,0.7181514849662781,0.8441,0.81,0.7368421052631579,0.5
30,0.7005826581954956,0.8469,0.82,0.7777777777777778,0.5
31,0.6797274554252625,0.849,0.87,0.8571428571428571,0.6428571428571429
32,0.6643488996505738,0.8502,0.85,0.8095238095238095,0.6071428571428571
33,0.6525248695373536,0.8504,0.78,0.625,0.5357142857142857
