global-update-round,test-loss,test-accuracy,detection-accuracy,detection-precision,detection-recall
0,4.111397575885479,0.014666059162848275,,,
1,4.111397575885479,0.014666059162848275,0.28,0.28,1.0
2,4.111397575885479,0.014666059162848275,0.28,0.28,1.0
3,4.111397575885479,0.014666059162848275,0.28,0.28,1.0
4,3.691437189177878,0.10589479294722454,1.0,1.0,1.0
5,3.1089371748219734,0.32246417303542724,1.0,1.0,1.0
6,2.44853911270264,0.43452283727207863,1.0,1.0,1.0
7,2.0982144640762046,0.4976573850399319,1.0,1.0,1.0
8,1.9184297733961617,0.5351908049139035,1.0,1.0,1.0
9,1.8128234063632185,0.5560207353661787,1.0,1.0,1.0
10,1.7142820505767413,0.5763090704331904,1.0,1.0,1.0
11,1.6717367495180193,0.5888173448071319,1.0,1.0,1.0
12,1.637415661081383,0.6001736543933702,1.0,1.0,1.0
13,1.5790091014372216,0.6095870979943777,1.0,1.0,1.0
14,1.5464864356179828,0.6198860070665303,1.0,1.0,1.0
15,1.5343562578446412,0.6252245901498414,1.0,1.0,1.0
16,1.4929230378303604,0.6310531881055337,1.0,1.0,1.0
17,1.4809784844334395,0.636649673753256,1.0,1.0,1.0
18,1.4675894875199842,0.6408019050402758,1.0,1.0,1.0
19,1.4560085660742719,0.6444641214549144,1.0,1.0,1.0
20,1.4457368580567376,0.6470861308597612,1.0,1.0,1.0
21,1.4457368580567376,0.6470861308597612,1.0,1.0,1.0
22,1.4103313966912134,0.6521582146265141,1.0,1.0,1.0
23,1.418590142976686,0.6540065163381275,1.0,1.0,1.0
24,1.3980523311094581,0.6571701211282378,1.0,1.0,1.0
25,1.3833488368662556,0.6608925148079056,1.0,1.0,1.0
26,1.3833488368662556,0.6608925148079056,1.0,1.0,1.0
27,1.3746723168391646,0.6634629436998702,1.0,1.0,1.0
28,1.3728157653359971,0.6653542291722188,1.0,1.0,1.0
29,1.358957043136647,0.6680020288335067,1.0,1.0,1.0
30,1.3574174375773371,0.6715696809745278,1.0,1.0,1.0
31,1.3491978642578208,0.6732632411474945,1.0,1.0,1.0
32,1.3516458472147304,0.6745785442259914,1.0,1.0,1.0
33,1.3302154274072409,0.6772091503829853,1.0,1.0,1.0
34,1.322821900556868,0.681129269362035,1.0,1.0,1.0
35,1.3226399360572063,0.6808885603019179,1.0,1.0,1.0
36,1.316979068624829,0.6823070244061793,1.0,1.0,1.0
37,1.3161622314342938,0.6855308064613189,1.0,1.0,1.0
38,1.3117676128210594,0.6857285317607008,1.0,1.0,1.0
39,1.2810737324752186,0.6890296845851637,1.0,1.0,1.0
40,1.2887103094842736,0.6917634517679221,1.0,1.0,1.0
41,1.2803331890332317,0.6926059334783319,1.0,1.0,1.0
42,1.2801845379975478,0.6940587845911814,1.0,1.0,1.0
43,1.2801845379975478,0.6940587845911814,1.0,1.0,1.0
44,1.2749411226631693,0.6943510741641807,1.0,1.0,1.0
45,1.2817631439607498,0.6953654909175313,1.0,1.0,1.0
46,1.2612124803845666,0.6974115179285266,1.0,1.0,1.0
47,1.2643798732760028,0.698374354168995,1.0,1.0,1.0
48,1.2640160404942957,0.699706850751786,1.0,1.0,1.0
49,1.26094932153114,0.6992942066487281,1.0,1.0,1.0
50,1.2424541088485412,0.702586762721044,1.0,1.0,1.0
51,1.2468619227207474,0.7016841037456049,1.0,1.0,1.0
52,1.2407479556457457,0.7036699534915709,1.0,1.0,1.0
53,1.2524596100064709,0.7044092741762162,1.0,1.0,1.0
54,1.2271522329865363,0.7076416529835028,1.0,1.0,1.0
55,1.2430227651924255,0.7071774283675627,1.0,1.0,1.0
56,1.240844124267769,0.7090429235834702,1.0,1.0,1.0
57,1.240803955413411,0.7095415352079985,1.0,1.0,1.0
58,1.2303435781615026,0.7094211806779399,1.0,1.0,1.0
59,1.2451700511767845,0.7099455825589093,1.0,1.0,1.0
60,1.2429776091566727,0.7110975473466125,1.0,1.0,1.0
61,1.2351354739996856,0.7110373700815832,1.0,1.0,1.0
62,1.2301006221872082,0.7144330871796635,1.0,1.0,1.0
63,1.2321446855586577,0.7131263808533136,1.0,1.0,1.0
64,1.232433685761588,0.7145792319661631,1.0,1.0,1.0
65,1.206848153975924,0.7165478882078351,1.0,1.0,1.0
66,1.2133496873145486,0.716075066839748,1.0,1.0,1.0
67,1.2133496873145486,0.716075066839748,1.0,1.0,1.0
68,1.2158454354639885,0.7179491588078024,1.0,1.0,1.0
69,1.2130127942848128,0.7180523198335669,1.0,1.0,1.0
70,1.2098682521918025,0.720528184451914,1.0,1.0,1.0
71,1.212244149264778,0.7202702818875029,1.0,1.0,1.0
72,1.2095749870626855,0.7211213603500597,1.0,1.0,1.0
73,1.198361271131115,0.7223077121463511,1.0,1.0,1.0
74,1.1917230900192153,0.7225742114629093,1.0,1.0,1.0
75,1.2046259479183778,0.7218692777868522,1.0,1.0,1.0
76,1.181664334935819,0.7245428677045812,1.0,1.0,1.0
77,1.189368360887407,0.7247577865082572,1.0,1.0,1.0
78,1.1852470743532464,0.7254111396714321,1.0,1.0,1.0
79,1.1833875570912702,0.726262218133989,1.0,1.0,1.0
80,1.1923878990472356,0.7263395889033123,1.0,1.0,1.0
81,1.1772745543568357,0.7276892789903975,1.0,1.0,1.0
82,1.1845686135736782,0.7281964873670728,1.0,1.0,1.0
83,1.1754314148810259,0.7290561625817766,1.0,1.0,1.0
84,1.175625572192456,0.7301995306173328,1.0,1.0,1.0
85,1.1840772355856057,0.7283770191621606,1.0,1.0,1.0
86,1.1775766440252715,0.7296149514713341,1.0,1.0,1.0
87,1.1775766440252715,0.7296149514713341,1.0,1.0,1.0
88,1.169771408488094,0.730921657797684,1.0,1.0,1.0
89,1.1718854871298814,0.7316093979694471,1.0,1.0,1.0
90,1.1782690506530418,0.7317297524995057,1.0,1.0,1.0
91,1.1706776377470651,0.732030638824652,1.0,1.0,1.0
92,1.1593280133503112,0.7331482166037671,1.0,1.0,1.0
93,1.1587271892994622,0.7340250853227651,1.0,1.0,1.0
94,1.16532875386942,0.7339821015620299,1.0,1.0,1.0
95,1.1711503030156794,0.7337413925019127,1.0,1.0,1.0
96,1.1473704777242872,0.7360281285730251,1.0,1.0,1.0
97,1.1537370669382958,0.7364063856674948,1.0,1.0,1.0
98,1.1521508286291022,0.7349965183153805,1.0,1.0,1.0
99,1.148752549794378,0.736887803787729,1.0,1.0,1.0
100,1.1473017863480084,0.7376701082331095,1.0,1.0,1.0
