global-update-round,test-loss,test-accuracy,detection-accuracy,detection-precision,detection-recall
0,4.146062513944536,0.0080551567617754,,,
1,4.146062513944536,0.0080551567617754,0.28,0.28,1.0
2,4.146062513944536,0.0080551567617754,0.28,0.28,1.0
3,4.146062513944536,0.0080551567617754,0.28,0.28,1.0
4,3.504224365771672,0.21432562777782554,1.0,1.0,1.0
5,2.783112170690663,0.3819021173800538,1.0,1.0,1.0
6,2.304738974653828,0.4628061518358364,1.0,1.0,1.0
7,2.047956577567739,0.514274906940158,1.0,1.0,1.0
8,1.8809867082259046,0.5466674690302004,1.0,1.0,1.0
9,1.7731456825295242,0.5690104278603544,1.0,1.0,1.0
10,1.7200042675287188,0.5831262948857922,1.0,1.0,1.0
11,1.6480496200944952,0.5976376125099937,1.0,1.0,1.0
12,1.6108009138532229,0.6087790032925561,1.0,1.0,1.0
13,1.5885641551350416,0.6158025497966868,1.0,1.0,1.0
14,1.5530969147140146,0.6231097891216698,1.0,1.0,1.0
15,1.522416829626296,0.6287578552822743,1.0,1.0,1.0
16,1.497794816589972,0.6341738091349088,1.0,1.0,1.0
17,1.4759282797786877,0.6398218752955134,1.0,1.0,1.0
18,1.485127372633807,0.6441546383776209,1.0,1.0,1.0
19,1.44341588084478,0.6490719806057271,1.0,1.0,1.0
20,1.4257402860221502,0.6522441821479845,1.0,1.0,1.0
21,1.4261162533734697,0.6562330751442105,1.0,1.0,1.0
22,1.4057021134780392,0.6615028842103453,1.0,1.0,1.0
23,1.3879160642425088,0.6632738151526353,1.0,1.0,1.0
24,1.3949490671608837,0.6661537271218934,1.0,1.0,1.0
25,1.374792281907597,0.6701684103745605,1.0,1.0,1.0
26,1.3579684350699692,0.6730741126002596,1.0,1.0,1.0
27,1.3743217664173115,0.6746387214910207,1.0,1.0,1.0
28,1.366908037933979,0.6762377173903699,1.0,1.0,1.0
29,1.3497946325426593,0.6800374818393611,1.0,1.0,1.0
30,1.3381069566350816,0.68201473483318,1.0,1.0,1.0
31,1.3255147694809666,0.6840951488527635,1.0,1.0,1.0
32,1.3248123512364154,0.6868633030441099,1.0,1.0,1.0
33,1.321992751774671,0.6887889755250466,1.0,1.0,1.0
34,1.3246644059277604,0.6891930228759575,1.0,1.0,1.0
35,1.300060159110267,0.6934312216844476,1.0,1.0,1.0
36,1.300058056227368,0.694634766985033,1.0,1.0,1.0
37,1.303127667359581,0.695073201344532,1.0,1.0,1.0
38,1.297573966347384,0.6965690362181168,1.0,1.0,1.0
39,1.3139901605265694,0.6965604394659698,1.0,1.0,1.0
40,1.2821042132416773,0.6995263189566981,1.0,1.0,1.0
41,1.2860972182784296,0.6998873825468738,1.0,1.0,1.0
42,1.2781802686449575,0.7013832174204585,1.0,1.0,1.0
