global-update-round,test-loss,test-accuracy,detection-accuracy,detection-precision,detection-recall,attack-success-rate
0,4.125735230616104,0.007943398983863896,,,,0.0013153030784969438
1,4.125735230616104,0.007943398983863896,0.28,0.28,1.0,0.0013153030784969438
2,4.125735230616104,0.007943398983863896,0.28,0.28,1.0,0.0013153030784969438
3,4.125735230616104,0.007943398983863896,0.28,0.28,1.0,0.0013153030784969438
4,3.660209676421943,0.09834684456212443,0.5,0.2608695652173913,0.42857142857142855,0.22298255718989365
5,2.8334162647419188,0.34245162177729255,0.5,0.28,0.5,0.25938120578045615
6,2.341912631023234,0.4412884812117982,0.54,0.2,0.21428571428571427,0.11491278594946829
7,2.0716609828741026,0.5021276961563921,0.62,0.3333333333333333,0.35714285714285715,0.10187151294241036
8,1.9292421371850734,0.5332307454243786,0.61,0.3103448275862069,0.32142857142857145,0.09758173362103797
9,1.8163181502122003,0.5549203510913577,0.63,0.23529411764705882,0.14285714285714285,0.08233109531219106
10,1.7733483884514993,0.5673426579438289,0.65,0.34782608695652173,0.2857142857142857,0.0932747607953715
11,1.7264197899266078,0.5797563680441529,0.69,0.4,0.21428571428571427,0.08594173121394737
12,1.6682828633287168,0.5909407425874504,0.73,0.5263157894736842,0.35714285714285715,0.06346122434944078
13,1.633047090223132,0.601901601574925,0.62,0.2916666666666667,0.25,0.07957153787299158
14,1.614124216537008,0.6047299330313007,0.6,0.22727272727272727,0.17857142857142858,0.0895781573721448
15,1.5797409703396772,0.6135845877427508,0.64,0.3333333333333333,0.2857142857142857,0.08097280847295892
16,1.5807010139736932,0.6186050909966215,0.66,0.3125,0.17857142857142858,0.08609647275259406
17,1.5264221107060065,0.6264883127154561,0.6,0.3235294117647059,0.39285714285714285,0.07556545137247148
18,1.5366526634254547,0.6288438228037447,0.69,0.42857142857142855,0.32142857142857145,0.08903656198688135
19,1.4938872216421606,0.637758654780224,0.66,0.35,0.25,0.06712344076407933
20,1.52047929325748,0.635093661614642,0.57,0.2,0.17857142857142858,0.07974347291593237
21,1.5023013193036325,0.640621373245188,0.6,0.2,0.14285714285714285,0.08265777189377853
22,1.4809131335858803,0.6435270754708871,0.56,0.0,0.0,0.07974347291593237
23,1.4809059947241043,0.6467164705174385,0.55,0.05263157894736842,0.03571428571428571,0.08612226300903518
24,1.451042200806706,0.6517541672756033,0.61,0.13333333333333333,0.07142857142857142,0.07506683974794323
25,1.42689555677369,0.6552014648865658,0.66,0.2857142857142857,0.14285714285714285,0.06200837323659122
26,1.4295084832224434,0.6570755568546204,0.63,0.15384615384615385,0.07142857142857142,0.06996036897260215
27,1.4537958772966466,0.656559751725798,0.63,0.09090909090909091,0.03571428571428571,0.08697334147159204
28,1.4126662138267307,0.6621648341256673,0.64,0.25,0.14285714285714285,0.07130146230754021
29,1.4245396317100378,0.6621218503649321,0.61,0.13333333333333333,0.07142857142857142,0.08069771240425368
30,1.405018184560171,0.6657324862666885,0.63,0.23529411764705882,0.14285714285714285,0.08034524556622508
31,1.3966688747387477,0.6673830626789199,0.6,0.16666666666666666,0.10714285714285714,0.06568778315552384
32,1.3947843551947285,0.6705724577254714,0.64,0.21428571428571427,0.10714285714285714,0.07896976522269887
33,1.4115454536515972,0.6702027973831487,0.64,0.21428571428571427,0.10714285714285714,0.08881304643105835
34,1.3866504256542465,0.671818986786792,0.61,0.23809523809523808,0.17857142857142858,0.0701924812805722
35,1.3935577041551075,0.6736758852505523,0.57,0.2222222222222222,0.21428571428571427,0.07296923222406575
36,1.3666459753842035,0.675378042175666,0.6,0.2,0.14285714285714285,0.07496367872217877
37,1.3334957441658863,0.6813269946614169,0.61,0.21052631578947367,0.14285714285714285,0.062025566740885295
38,1.4039844475455903,0.6756445414922242,0.58,0.15,0.10714285714285714,0.08285549719316042
39,1.3839015694242054,0.6781118093584244,0.61,0.23809523809523808,0.17857142857142858,0.08261478813304333
40,1.3512520067361178,0.6817310420123277,0.63,0.2631578947368421,0.17857142857142858,0.0737773269258874
41,1.3473797618912895,0.68532448440979,0.65,0.26666666666666666,0.14285714285714285,0.07615862727061716
42,1.3414670740677863,0.6834246021852944,0.68,0.35714285714285715,0.17857142857142858,0.07392347171238706
43,1.3404820296602515,0.6873963016772263,0.61,0.23809523809523808,0.17857142857142858,0.06992598196401399
44,1.3428017274468238,0.686433465436758,0.65,0.26666666666666666,0.14285714285714285,0.07314976401915356
45,1.330734175470243,0.6907318415102774,0.65,0.34782608695652173,0.2857142857142857,0.07253079786456677
46,1.342856089875312,0.6906888577495423,0.65,0.3157894736842105,0.21428571428571427,0.07673460966446877
47,1.2978536296374314,0.6927950620255667,0.66,0.3125,0.17857142857142858,0.05947233135321475
48,1.292373878389345,0.6953397006610902,0.62,0.1875,0.10714285714285714,0.06970246640819099
49,1.3147928189002778,0.6936805274967117,0.59,0.24,0.21428571428571427,0.07341626333571177
50,1.3079662876396914,0.6949528468144734,0.62,0.25,0.17857142857142858,0.06378790093102826
51,1.3020447119188479,0.6956147967297955,0.57,0.17391304347826086,0.14285714285714285,0.07812728351228906
52,1.310383112748285,0.6969902770733217,0.61,0.17647058823529413,0.10714285714285714,0.06949614435666206
53,1.3142010799699269,0.6964572784402053,0.64,0.2777777777777778,0.17857142857142858,0.07645951359576351
