global-update-round,test-loss,test-accuracy,detection-accuracy,detection-precision,detection-recall
0,2.307654224395752,0.1369,,,
1,2.307654224395752,0.1369,0.77,1.0,0.17857142857142858
2,2.2026121982574463,0.3002,0.86,1.0,0.5
3,2.1788977252960207,0.4213,0.77,1.0,0.17857142857142858
4,2.17076279296875,0.5,0.8,1.0,0.2857142857142857
5,2.1809748336791994,0.5392,0.78,1.0,0.21428571428571427
6,2.198532273864746,0.6007,0.78,1.0,0.21428571428571427
7,2.225145040130615,0.5873,0.74,0.75,0.10714285714285714
8,2.2433473167419433,0.5478,0.74,1.0,0.07142857142857142
9,2.2606881114959716,0.5192,0.74,1.0,0.07142857142857142
10,2.2726644371032716,0.4741,0.74,1.0,0.07142857142857142
11,2.280433117675781,0.4806,0.74,1.0,0.07142857142857142
12,2.2860342224121095,0.472,0.75,1.0,0.10714285714285714
13,2.290519655227661,0.4064,0.74,1.0,0.07142857142857142
14,2.2930444389343263,0.4357,0.74,1.0,0.07142857142857142
15,2.295898497772217,0.196,0.74,1.0,0.07142857142857142
16,2.2976442321777344,0.3331,0.74,0.75,0.10714285714285714
17,2.298396491241455,0.425,0.72,0,0.0
18,2.2994679664611817,0.2361,0.72,0,0.0
19,2.299614821624756,0.1033,0.73,1.0,0.03571428571428571
20,2.299346588897705,0.2781,0.75,0.8,0.14285714285714285
