global-update-round,test-loss,test-accuracy,detection-accuracy,detection-precision,detection-recall
0,2.2765058750152587,0.1367,,,
1,2.161392579269409,0.2813,0.87,0.9411764705882353,0.5714285714285714
2,2.1256537673950193,0.4517,0.8,1.0,0.2857142857142857
3,2.104540625,0.5376,0.83,1.0,0.39285714285714285
4,2.121541192626953,0.5881,0.77,1.0,0.17857142857142858
5,2.150207711029053,0.6156,0.75,1.0,0.10714285714285714
6,2.1739593826293944,0.6297,0.77,1.0,0.17857142857142858
7,2.1971137199401856,0.6315,0.76,1.0,0.14285714285714285
8,2.220884455871582,0.6145,0.74,1.0,0.07142857142857142
9,2.239358402252197,0.625,0.74,1.0,0.07142857142857142
10,2.2555329578399657,0.5674,0.72,0.5,0.03571428571428571
11,2.2635642833709717,0.5261,0.77,1.0,0.17857142857142858
12,2.2724524673461914,0.5256,0.74,1.0,0.07142857142857142
13,2.2773366195678713,0.4026,0.77,1.0,0.17857142857142858
14,2.2818613227844238,0.3794,0.75,1.0,0.10714285714285714
