global-update-round,test-loss,test-accuracy,detection-accuracy,detection-precision,detection-recall,attack-success-rate
0,2.329173543548584,0.0697,,,,0.0588
1,2.195990266036987,0.1537,0.66,0.375,0.32142857142857145,0.8364
2,2.0804643936157228,0.1708,0.72,0.5,0.21428571428571427,0.9524
3,1.940504644393921,0.2673,0.75,0.7142857142857143,0.17857142857142858,0.878
4,1.7988361526489258,0.3564,0.72,0.5,0.14285714285714285,0.7997
5,1.6348642303466796,0.4725,0.76,0.75,0.21428571428571427,0.6855
6,1.5213508903503419,0.5183,0.72,0.5,0.03571428571428571,0.6501
7,1.3931663764953612,0.594,0.75,1.0,0.10714285714285714,0.5742
8,1.2924279167175292,0.6384,0.76,1.0,0.14285714285714285,0.5333
9,1.202448646736145,0.6766,0.76,1.0,0.14285714285714285,0.4989
10,1.13034290599823,0.6932,0.75,1.0,0.10714285714285714,0.4896
11,1.0725051025390624,0.7089,0.73,1.0,0.03571428571428571,0.4858
12,1.0168217679023743,0.7241,0.73,1.0,0.03571428571428571,0.4878
13,0.9693578046798706,0.7398,0.73,1.0,0.03571428571428571,0.4845
14,0.9303117380142212,0.7492,0.74,1.0,0.07142857142857142,0.4941
15,0.8940286198616028,0.7584,0.73,1.0,0.03571428571428571,0.5017
16,0.8516470663070679,0.7779,0.73,1.0,0.03571428571428571,0.4925
17,0.8233643816947938,0.7861,0.72,0,0.0,0.5029
18,0.7881839203834534,0.7979,0.72,0.5,0.03571428571428571,0.487
19,0.7617620853424072,0.8062,0.72,0.5,0.03571428571428571,0.4976
20,0.7374640305519105,0.8117,0.72,0.5,0.03571428571428571,0.5081
21,0.71891379032135,0.8136,0.73,1.0,0.03571428571428571,0.5285
22,0.6946482622146607,0.8232,0.74,1.0,0.07142857142857142,0.5222
23,0.6804758032798767,0.8275,0.73,1.0,0.03571428571428571,0.5511
24,0.67176186876297,0.828,0.72,0,0.0,0.5784
25,0.6407341034889221,0.8394,0.75,1.0,0.10714285714285714,0.546
26,0.6311497208595276,0.8413,0.74,1.0,0.07142857142857142,0.5817
27,0.6069088302612304,0.8459,0.78,1.0,0.21428571428571427,0.5483
28,0.5970221580505372,0.8468,0.75,1.0,0.10714285714285714,0.5602
29,0.5873675783157348,0.8491,0.76,1.0,0.14285714285714285,0.5827
30,0.5724333262443543,0.8523,0.76,1.0,0.14285714285714285,0.5843
31,0.5681936706066132,0.8538,0.74,1.0,0.07142857142857142,0.6244
32,0.5601885196685791,0.8549,0.75,1.0,0.10714285714285714,0.6503
33,0.5486366108417511,0.8586,0.75,1.0,0.10714285714285714,0.6526
34,0.5445488238334656,0.8605,0.73,1.0,0.03571428571428571,0.6847
