global-update-round,test-loss,test-accuracy,detection-accuracy,detection-precision,detection-recall
0,2.294153614807129,0.1949,,,
1,2.1843307327270507,0.3584,0.77,1.0,0.17857142857142858
2,2.1646955505371093,0.4338,0.78,1.0,0.21428571428571427
3,2.1813226428985595,0.4785,0.74,1.0,0.07142857142857142
4,2.20187174911499,0.5278,0.76,1.0,0.14285714285714285
5,2.2278063415527343,0.5686,0.74,0.75,0.10714285714285714
6,2.241640530395508,0.5438,0.79,1.0,0.25
7,2.252453981781006,0.5218,0.8,0.9,0.32142857142857145
8,2.252453981781006,0.5218,0.79,1.0,0.25
9,2.262820249176025,0.4939,0.79,1.0,0.25
10,2.270733950805664,0.4815,0.78,0.875,0.25
11,2.2787211639404297,0.4074,0.76,1.0,0.14285714285714285
12,2.2844308921813963,0.3896,0.77,1.0,0.17857142857142858
13,2.2892490745544434,0.3443,0.77,1.0,0.17857142857142858
14,2.2923657657623293,0.3731,0.77,1.0,0.17857142857142858
15,2.2953434120178224,0.3384,0.76,1.0,0.14285714285714285
16,2.2962773624420167,0.2184,0.78,1.0,0.21428571428571427
17,2.297355813598633,0.2501,0.75,1.0,0.10714285714285714
18,2.2984619716644286,0.2129,0.75,1.0,0.10714285714285714
19,2.2988133712768555,0.201,0.74,1.0,0.07142857142857142
20,2.3000069465637205,0.2285,0.74,1.0,0.07142857142857142
21,2.300442249298096,0.2074,0.76,1.0,0.14285714285714285
22,2.3005347030639647,0.2075,0.78,1.0,0.21428571428571427
23,2.300344147491455,0.151,0.77,1.0,0.17857142857142858
24,2.3003933742523195,0.1711,0.75,1.0,0.10714285714285714
25,2.3007613201141357,0.1839,0.74,0.75,0.10714285714285714
26,2.3013352416992188,0.2003,0.73,1.0,0.03571428571428571
27,2.301226336288452,0.2478,0.73,0.6666666666666666,0.07142857142857142
28,2.3012826904296877,0.2098,0.72,0,0.0
