global-update-round,test-loss,test-accuracy,detection-accuracy,detection-precision,detection-recall,attack-success-rate
0,4.128910588253586,0.02121678429889188,,,,0.32328946124154295
1,3.5278641924637513,0.1147150606500864,0.76,0.7,0.25,0.9621141132879998
2,2.8116193531490543,0.31727173473861575,0.73,0.6,0.10714285714285714,0.6710796661021466
3,2.3775318556628067,0.43739415248918956,0.71,0.3333333333333333,0.03571428571428571,0.6493384799222853
4,2.3775318556628067,0.43739415248918956,0.74,0.625,0.17857142857142858,0.6493384799222853
5,2.3775318556628067,0.43739415248918956,0.77,0.8571428571428571,0.21428571428571427,0.6493384799222853
6,2.122872649492441,0.4944937802498216,0.76,1.0,0.14285714285714285,0.6192412506555024
7,1.9631977378576502,0.5253905074662792,0.77,0.8571428571428571,0.21428571428571427,0.6400367940991893
8,1.8547613163712082,0.5472090644154638,0.74,0.6666666666666666,0.14285714285714285,0.6919267900587158
9,1.7906179674957472,0.5608779003292556,0.73,0.6666666666666666,0.07142857142857142,0.7917866629987191
10,1.71522964114575,0.5774094547080113,0.72,0.5,0.17857142857142858,0.744848396275887
11,1.6815000302712295,0.587072204121283,0.72,0.5,0.07142857142857142,0.8371775143350842
12,1.6458551929875571,0.59593545558488,0.73,0.6,0.10714285714285714,0.8323117526198602
13,1.6151254836806443,0.604128160381008,0.76,1.0,0.14285714285714285,0.837332255873731
14,1.590991931015186,0.6117878665440196,0.75,1.0,0.10714285714285714,0.8555831606818943
15,1.56923449743813,0.6173327716788597,0.74,1.0,0.07142857142857142,0.8598471497468256
16,1.56923449743813,0.6173327716788597,0.74,0.75,0.10714285714285714,0.8598471497468256
17,1.5367769554007467,0.6230410151044935,0.74,1.0,0.07142857142857142,0.8883883668749947
18,1.5111735800023955,0.6287750487865684,0.73,0.6666666666666666,0.07142857142857142,0.8921967280761328
19,1.4929003609057592,0.6328499093042649,0.75,1.0,0.10714285714285714,0.9040086655261642
20,1.4845226432758514,0.6373718009336072,0.76,1.0,0.14285714285714285,0.9070777060426571
21,1.472758193712228,0.6419882568365671,0.75,1.0,0.10714285714285714,0.8987732434686175
22,1.4608639348440025,0.6445758792328259,0.73,1.0,0.03571428571428571,0.9393928973633762
23,1.4362380153855754,0.648375643681817,0.72,0.5,0.03571428571428571,0.9182362903295135
24,1.430375044391542,0.6519690860792793,0.73,1.0,0.03571428571428571,0.9362035023168247
25,1.4105392911497856,0.6556055122374767,0.73,1.0,0.03571428571428571,0.936934226249323
26,1.4156595605282376,0.6574624107012371,0.73,1.0,0.03571428571428571,0.9485226481435314
27,1.3820275334027265,0.6607377732692589,0.74,1.0,0.07142857142857142,0.9144967031455516
28,1.385171476873935,0.6628611710495774,0.75,1.0,0.10714285714285714,0.955090566783869
29,1.3792458446000249,0.6662654848998049,0.73,1.0,0.03571428571428571,0.9405964426639616
30,1.354305811091413,0.6704606999475599,0.75,1.0,0.10714285714285714,0.9505600784023795
31,1.3570646915311337,0.671371955675146,0.74,1.0,0.07142857142857142,0.9475082313901808
32,1.3455119130495063,0.6736414982419642,0.73,1.0,0.03571428571428571,0.9567067561875123
33,1.3449565071897014,0.6763322816639874,0.72,0,0.0,0.9525975086612278
34,1.3272251397306984,0.6770458120921916,0.72,0.5,0.03571428571428571,0.9491244207938241
35,1.3246917241225713,0.6810604953448587,0.71,0.3333333333333333,0.03571428571428571,0.9594749103788589
36,1.326897508712334,0.6812496238920935,0.71,0.0,0.0,0.9549100349887812
37,1.2960245220612976,0.684000584579146,0.72,0,0.0,0.9610739062782081
38,1.298571277222027,0.6879035100539016,0.72,0,0.0,0.9757657556974975
39,1.3167483055278912,0.6878605262931664,0.73,1.0,0.03571428571428571,0.9712954445810373
40,1.2822744750687975,0.6900612948428084,0.72,0,0.0,0.9551765343053394
