global-update-round,test-loss,test-accuracy,detection-accuracy,detection-precision,detection-recall,attack-success-rate
0,4.135621156101639,0.011519647877032057,,,,0.0
1,3.6646952934196597,0.06119168178262253,0.7,0.42857142857142855,0.21428571428571427,0.9970427172614187
2,2.7646391924759244,0.3283529482561488,0.74,0.5833333333333334,0.25,0.5438047505652365
3,2.402767962648111,0.39367966782149705,0.75,1.0,0.10714285714285714,0.5874934449764879
4,2.0944233025446337,0.4796643827961796,0.75,0.7142857142857143,0.17857142857142858,0.5182294129277959
5,1.9876408931017628,0.5046121575268864,0.73,0.6,0.10714285714285714,0.5865134152317254
6,1.857109569539296,0.5399276153469219,0.73,0.6666666666666666,0.07142857142857142,0.6090025188483791
7,1.7873717679821892,0.5561926704091195,0.71,0.0,0.0,0.6982625963910835
8,1.7210079511971363,0.5748820095767819,0.72,0,0.0,0.7072719926411801
9,1.6587613503573428,0.5887055870292204,0.72,0,0.0,0.776278122125461
10,1.6189970919282106,0.5975258547320822,0.72,0,0.0,0.752834779020486
11,1.584805273006823,0.608761809788262,0.72,0,0.0,0.8043637113898369
12,1.5687405278052797,0.6126733320151647,0.7,0.0,0.0,0.8653318776166364
13,1.5573019876402463,0.6176852385168883,0.72,0,0.0,0.8400402328000481
14,1.524977847359746,0.6276316807510123,0.72,0.5,0.03571428571428571,0.8893340096111689
15,1.4938425438742047,0.6334946657152928,0.73,0.6666666666666666,0.07142857142857142,0.8619447572707031
16,1.4745470125391145,0.6384979754648694,0.73,0.6666666666666666,0.07142857142857142,0.8675326461662783
17,1.4637790698722606,0.6439053325653568,0.74,1.0,0.07142857142857142,0.8982230513312071
18,1.4568003829460603,0.6456676667554998,0.75,1.0,0.10714285714285714,0.8905461516639014
19,1.434260789217254,0.6496737532560198,0.73,1.0,0.03571428571428571,0.893580805171806
20,1.4171025129668657,0.6544449506976264,0.74,1.0,0.07142857142857142,0.8971914410735624
21,1.4034663758917745,0.6573678464276197,0.74,1.0,0.07142857142857142,0.9228441494803263
22,1.4034663758917745,0.6573678464276197,0.73,1.0,0.03571428571428571,0.9228441494803263
23,1.4034663758917745,0.6573678464276197,0.73,1.0,0.03571428571428571,0.9228441494803263
24,1.3852656000681596,0.6607033862606707,0.74,1.0,0.07142857142857142,0.908152300061037
25,1.3909549717234015,0.6624227366900785,0.74,1.0,0.07142857142857142,0.9203768816141262
26,1.36633236255762,0.6663170654126871,0.71,0.0,0.0,0.9156142809246667
27,1.3586773989982996,0.667640965243331,0.72,0,0.0,0.9063899658708939
28,1.3533999928725242,0.672257421146291,0.72,0,0.0,0.9413787471093421
29,1.3538561954184944,0.6719393413168505,0.73,1.0,0.03571428571428571,0.9307961452163372
30,1.3224550846355285,0.6757820895265768,0.74,0.75,0.10714285714285714,0.9263688178606123
31,1.3381397613328365,0.67800864833266,0.75,1.0,0.10714285714285714,0.9540847467826655
32,1.3104590224790125,0.6831323126122951,0.76,0.8333333333333334,0.17857142857142858,0.9378884657376443
33,1.2948352179517404,0.6847914857766736,0.74,1.0,0.07142857142857142,0.9475168281423278
34,1.3061293943072014,0.6857199350085538,0.75,1.0,0.10714285714285714,0.9375617891560568
35,1.2786804227683948,0.6889179268072522,0.73,1.0,0.03571428571428571,0.9437514507019248
36,1.2786804227683948,0.6889179268072522,0.73,0.6666666666666666,0.07142857142857142,0.9437514507019248
37,1.2949483783949154,0.6891930228759575,0.74,1.0,0.07142857142857142,0.9449463992503632
38,1.2808699209360945,0.6903106006550725,0.73,0.6666666666666666,0.07142857142857142,0.950001289512822
39,1.276443004554864,0.694196332625534,0.75,1.0,0.10714285714285714,0.9520387197716703
40,1.2692427802073374,0.6949270565580323,0.74,1.0,0.07142857142857142,0.9547037129372523
41,1.2651860789774385,0.6946175734807389,0.74,0.75,0.10714285714285714,0.9603173920892687
42,1.2648277094149305,0.6988815625456702,0.75,1.0,0.10714285714285714,0.9617702432021182
43,1.2427319451188759,0.7019677965664572,0.74,1.0,0.07142857142857142,0.9638936409824368
44,1.2652860997802775,0.7017356842584871,0.73,1.0,0.03571428571428571,0.9564746438795423
45,1.2652860997802775,0.7017356842584871,0.72,0,0.0,0.9564746438795423
46,1.2522029589269514,0.7022600861394566,0.76,1.0,0.14285714285714285,0.9775968639048168
47,1.2700743089162037,0.7022772796437506,0.77,1.0,0.17857142857142858,0.9656645719247269
48,1.2302664930279794,0.7066874134951815,0.75,1.0,0.10714285714285714,0.9547037129372523
49,1.228434800628221,0.7053979006731257,0.77,1.0,0.17857142857142858,0.9456513329264205
50,1.2460308433553637,0.7076760399920909,0.76,1.0,0.14285714285714285,0.9781986365551095
51,1.2263653356749002,0.7096360994816159,0.74,1.0,0.07142857142857142,0.9589591052500366
52,1.2208340606475636,0.7118626582876989,0.75,1.0,0.10714285714285714,0.9562769185801604
53,1.2090285129786023,0.7133241061526955,0.76,1.0,0.14285714285714285,0.9531648943029324
54,1.2142145752678266,0.7139086852986941,0.74,1.0,0.07142857142857142,0.9755250466373804
55,1.2265022117600513,0.7131607678619017,0.72,0,0.0,0.9727912794546221
