global-update-round,test-loss,test-accuracy,detection-accuracy,detection-precision,detection-recall
0,2.3376191802978514,0.0781,,,
1,2.3376191802978514,0.0781,0.28,0.28,1.0
2,2.3376191802978514,0.0781,0.28,0.28,1.0
3,2.3376191802978514,0.0781,0.28,0.28,1.0
4,2.3025951396942137,0.1039,1.0,1.0,1.0
5,2.3025951396942137,0.1039,1.0,1.0,1.0
6,2.2682361209869386,0.1366,1.0,1.0,1.0
7,2.234752746963501,0.1757,1.0,1.0,1.0
8,2.201373179626465,0.2277,1.0,1.0,1.0
9,2.1684759536743163,0.2826,1.0,1.0,1.0
10,2.135309436798096,0.3389,1.0,1.0,1.0
11,2.1036709968566893,0.3878,1.0,1.0,1.0
12,2.0697996669769285,0.4378,1.0,1.0,1.0
13,2.0359570472717285,0.4848,1.0,1.0,1.0
14,2.0029992670059205,0.5177,1.0,1.0,1.0
15,1.9691492181777954,0.5514,1.0,1.0,1.0
16,1.9356899742126465,0.5775,1.0,1.0,1.0
