global-update-round,test-loss,test-accuracy,detection-accuracy,detection-precision,detection-recall,attack-success-rate
0,2.2920263854980467,0.1154,,,,0.0806
1,2.1663792224884033,0.1234,0.73,0.5555555555555556,0.17857142857142858,0.9713
2,2.0625624656677246,0.1397,0.73,0.5714285714285714,0.14285714285714285,0.9896
3,1.9291806568145753,0.2344,0.73,0.6,0.10714285714285714,0.9574
4,1.7781158456802368,0.3444,0.76,1.0,0.14285714285714285,0.8521
5,1.6440560914993285,0.4393,0.72,0.5,0.07142857142857142,0.7635
6,1.6440560914993285,0.4393,0.75,1.0,0.10714285714285714,0.7635
7,1.5284741725921631,0.5008,0.73,1.0,0.03571428571428571,0.7201
8,1.4061640182495116,0.5757,0.73,0.6,0.10714285714285714,0.6553
9,1.3106923709869385,0.6176,0.74,1.0,0.07142857142857142,0.6243
10,1.2186277101516723,0.6542,0.73,0.6666666666666666,0.07142857142857142,0.5775
11,1.1493445999145508,0.6769,0.73,1.0,0.03571428571428571,0.5728
12,1.0725954484939575,0.7073,0.74,1.0,0.07142857142857142,0.5381
13,1.020869471359253,0.7234,0.73,1.0,0.03571428571428571,0.5575
14,0.958992474937439,0.7482,0.73,1.0,0.03571428571428571,0.539
15,0.9110418457984925,0.7629,0.73,1.0,0.03571428571428571,0.533
16,0.9110418457984925,0.7629,0.74,1.0,0.07142857142857142,0.533
17,0.8784786176681518,0.7696,0.72,0,0.0,0.5594
18,0.8424323570251465,0.78,0.72,0,0.0,0.5612
19,0.8041006750106812,0.7956,0.72,0,0.0,0.5493
20,0.772769709777832,0.8048,0.73,1.0,0.03571428571428571,0.5421
21,0.7520112493515014,0.8083,0.73,1.0,0.03571428571428571,0.5643
22,0.7258912073135376,0.8135,0.75,1.0,0.10714285714285714,0.5596
23,0.7077974249839782,0.8204,0.73,1.0,0.03571428571428571,0.5806
24,0.696606017112732,0.8206,0.72,0,0.0,0.6121
25,0.6803124443531037,0.8242,0.73,1.0,0.03571428571428571,0.6318
26,0.6644778511047363,0.8264,0.73,1.0,0.03571428571428571,0.6542
27,0.6432984131336212,0.8354,0.73,1.0,0.03571428571428571,0.6456
28,0.6220482128620147,0.8418,0.76,1.0,0.14285714285714285,0.6364
29,0.6094206324577331,0.8431,0.74,1.0,0.07142857142857142,0.6511
30,0.6047322927474975,0.8435,0.74,1.0,0.07142857142857142,0.7038
31,0.5875229750156402,0.8469,0.75,1.0,0.10714285714285714,0.686
32,0.5698362464904785,0.8517,0.76,1.0,0.14285714285714285,0.6675
33,0.5712309047698975,0.8526,0.74,1.0,0.07142857142857142,0.732
34,0.5593810097694397,0.8543,0.74,1.0,0.07142857142857142,0.7427
35,0.5483646475791931,0.857,0.75,1.0,0.10714285714285714,0.7533
36,0.5396197622776031,0.8584,0.74,1.0,0.07142857142857142,0.7658
37,0.5326198445320129,0.8605,0.73,1.0,0.03571428571428571,0.789
38,0.5273161766052246,0.8622,0.75,1.0,0.10714285714285714,0.8076
39,0.5182528944015503,0.864,0.74,1.0,0.07142857142857142,0.8147
40,0.5146354438781738,0.8658,0.74,1.0,0.07142857142857142,0.8326
41,0.5113885644435883,0.866,0.72,0,0.0,0.8599
42,0.5014308302879333,0.8684,0.72,0,0.0,0.8523
43,0.4988468584060669,0.8676,0.73,1.0,0.03571428571428571,0.8646
44,0.4909867843151092,0.8679,0.73,1.0,0.03571428571428571,0.8678
45,0.4852537878036499,0.8677,0.74,1.0,0.07142857142857142,0.8644
46,0.48163516540527346,0.8701,0.74,1.0,0.07142857142857142,0.8838
47,0.4753578600883484,0.8729,0.76,1.0,0.14285714285714285,0.8832
48,0.4745608632087708,0.8719,0.73,1.0,0.03571428571428571,0.8991
49,0.4659543344497681,0.8737,0.77,1.0,0.17857142857142858,0.8905
50,0.4679900421142578,0.8733,0.75,1.0,0.10714285714285714,0.907
51,0.45862638356685637,0.8753,0.76,1.0,0.14285714285714285,0.9001
52,0.45907919430732724,0.8761,0.74,1.0,0.07142857142857142,0.9126
53,0.45285324652194975,0.8777,0.74,1.0,0.07142857142857142,0.9112
54,0.4511971179962158,0.8767,0.76,1.0,0.14285714285714285,0.9187
55,0.446950035405159,0.8777,0.74,1.0,0.07142857142857142,0.9174
56,0.4458827208042145,0.8756,0.75,1.0,0.10714285714285714,0.9225
57,0.44732698447704317,0.8753,0.72,0,0.0,0.9363
58,0.44510407123565676,0.8771,0.73,1.0,0.03571428571428571,0.9449
59,0.43427912311553957,0.8806,0.75,1.0,0.10714285714285714,0.9313
60,0.42812450542449954,0.8805,0.75,1.0,0.10714285714285714,0.9262
61,0.4292518909692764,0.8797,0.76,1.0,0.14285714285714285,0.9431
62,0.42814773030281067,0.8798,0.72,0.5,0.03571428571428571,0.949
63,0.42814773030281067,0.8798,0.73,1.0,0.03571428571428571,0.949
64,0.42479402675628664,0.881,0.72,0,0.0,0.9542
65,0.4202105162143707,0.8831,0.74,1.0,0.07142857142857142,0.9503
66,0.4202105162143707,0.8831,0.73,1.0,0.03571428571428571,0.9503
67,0.4202036966562271,0.8827,0.75,1.0,0.10714285714285714,0.9557
68,0.4189368339300156,0.8817,0.75,1.0,0.10714285714285714,0.9592
69,0.41504807710647584,0.8837,0.74,0.75,0.10714285714285714,0.9582
70,0.41170529034137726,0.883,0.75,1.0,0.10714285714285714,0.953
71,0.4111473919868469,0.8833,0.73,1.0,0.03571428571428571,0.9596
72,0.40893997173309327,0.8849,0.74,1.0,0.07142857142857142,0.9585
73,0.4070529344797134,0.8855,0.73,1.0,0.03571428571428571,0.9578
74,0.40778384861946104,0.8847,0.73,1.0,0.03571428571428571,0.9648
75,0.406484182715416,0.8851,0.73,1.0,0.03571428571428571,0.9685
76,0.40680606150627135,0.8829,0.75,1.0,0.10714285714285714,0.9713
77,0.400945506811142,0.8864,0.74,1.0,0.07142857142857142,0.9688
78,0.39899476852416993,0.8865,0.73,1.0,0.03571428571428571,0.9689
79,0.3985815212726593,0.8871,0.73,1.0,0.03571428571428571,0.9741
80,0.3985815212726593,0.8871,0.74,1.0,0.07142857142857142,0.9741
81,0.3986363522052765,0.8856,0.73,0.6666666666666666,0.07142857142857142,0.9774
82,0.39598224210739136,0.8876,0.74,1.0,0.07142857142857142,0.9758
83,0.3939641981124878,0.8879,0.73,1.0,0.03571428571428571,0.9764
84,0.3913955736637115,0.888,0.72,0,0.0,0.9767
85,0.3905059362411499,0.8886,0.74,1.0,0.07142857142857142,0.9768
86,0.38648432178497316,0.8894,0.76,1.0,0.14285714285714285,0.9701
87,0.3879199423313141,0.8893,0.75,1.0,0.10714285714285714,0.9748
88,0.38579795086383817,0.8893,0.77,1.0,0.17857142857142858,0.9753
89,0.38579795086383817,0.8893,0.74,1.0,0.07142857142857142,0.9753
90,0.38739318192005157,0.8898,0.75,1.0,0.10714285714285714,0.9806
91,0.38564164457321165,0.8906,0.73,1.0,0.03571428571428571,0.9815
92,0.38391265511512757,0.891,0.74,1.0,0.07142857142857142,0.9834
93,0.38266913130283353,0.8907,0.78,1.0,0.21428571428571427,0.9836
94,0.38110764400959013,0.8917,0.74,1.0,0.07142857142857142,0.9831
95,0.38178638019561767,0.8903,0.74,1.0,0.07142857142857142,0.9842
96,0.3791794480085373,0.8909,0.75,1.0,0.10714285714285714,0.9831
97,0.37941754536628725,0.8913,0.76,1.0,0.14285714285714285,0.9852
98,0.37809982624053956,0.8927,0.76,1.0,0.14285714285714285,0.9858
99,0.37685737562179566,0.8911,0.74,1.0,0.07142857142857142,0.9843
