global_update_round,loss,accuracy
0,2.327127954627894,0.0672
1,2.3236063703705994,0.067
2,2.3229725149613394,0.0674
3,2.3223410256301302,0.0682
4,2.3217113319831557,0.0685
5,2.32108047038694,0.0687
6,2.3204519416712506,0.0686
7,2.3198203738731675,0.0696
8,2.319192116773581,0.0701
9,2.3185649733000164,0.0704
10,2.317937772485274,0.0707
11,2.3173136439504503,0.0708
12,2.3166873907741112,0.071
13,2.3160620007333876,0.0714
14,2.3154403408871422,0.0717
15,2.314813619927515,0.0723
16,2.314187052883679,0.0725
17,2.3135668416566486,0.0732
18,2.312947197805477,0.0736
19,2.312324563159218,0.0742
20,2.311701385280754,0.0744
