global_update_round,loss,accuracy
0,2.362928985040399,0.0716
1,2.3410928520975234,0.0763
2,2.3354471484317054,0.0807
3,2.3298281235030935,0.0848
4,2.3242683863338036,0.089
5,2.3186946126479135,0.0941
6,2.3126951018466224,0.1001
7,2.3072559592090074,0.1059
8,2.30181330970571,0.1132
9,2.296388906768606,0.1223
10,2.290992012506799,0.1295
11,2.2856027536754366,0.1378
12,2.280262165431735,0.1448
13,2.274928660332402,0.1514
14,2.269618752636487,0.1581
15,2.264283774774286,0.165
16,2.2589661471451383,0.1725
17,2.2536546489860436,0.1796
18,2.2483975283707243,0.1875
19,2.243129413339156,0.1956
20,2.2378848293159583,0.2053
