global_update_round,loss,accuracy
0,2.325101432921011,0.1309
1,2.3183328350888024,0.1336
2,2.3108557357063777,0.136
3,2.3070658128472825,0.1391
4,2.3032475030874906,0.1417
5,2.3004614371287673,0.1454
6,2.2976862146884582,0.149
7,2.2949109982840623,0.153
8,2.2921334248554857,0.158
9,2.289375860479814,0.1611
10,2.2866081708594215,0.1662
11,2.2838542944268334,0.1707
12,2.2810944152783743,0.1754
13,2.2783479177499117,0.1797
14,2.275608705568917,0.1843
15,2.27287904522087,0.1892
16,2.270146867896937,0.1938
17,2.267432098147235,0.1974
18,2.2647080602525156,0.2022
19,2.261988558346712,0.2078
20,2.2592719627332083,0.2138
