global_update_round,loss,accuracy
0,2.2968738561944115,0.1253
1,2.2719276343719867,0.1544
2,2.2473925035211106,0.1909
3,2.2228831852538677,0.2319
4,2.2002995497063744,0.2723
5,2.1763079830362826,0.3056
6,2.152431131918219,0.3406
7,2.1285571025896677,0.3667
8,2.104578941683226,0.3895
9,2.0806477537638024,0.4137
10,2.0567142359818082,0.4367
11,2.033022533489179,0.4605
12,2.009067376957664,0.4848
13,1.985162377357483,0.5058
14,1.9611560755138155,0.5246
15,1.937222832365881,0.5425
16,1.9132099830651585,0.559
17,1.8892115324358396,0.5753
18,1.8653670036340062,0.5897
19,1.841337431835223,0.603
20,1.8174359964419016,0.6154
