global_update_round,loss,accuracy
0,2.2826226089574115,0.1155
1,2.280441770070716,0.1159
2,2.2786430708969694,0.1171
3,2.2768519437765775,0.1196
4,2.2750549074969713,0.1221
5,2.2732795160028,0.1238
6,2.2714849755733826,0.126
7,2.269705099395559,0.1281
8,2.267932644373254,0.1298
9,2.2661570506759836,0.1317
10,2.2643841972833947,0.1334
11,2.2626161665856084,0.1361
12,2.260853903203071,0.1375
13,2.259083826330644,0.1399
14,2.257318590260759,0.1423
15,2.255556972720955,0.1448
16,2.2537929891031,0.1469
17,2.2520299350159076,0.1489
18,2.2502772445920147,0.1509
19,2.248516719552535,0.1531
20,2.2467645059658,0.1551
