global_update_round,loss,accuracy
0,2.3482528306260892,0.0771
1,2.3421124687677697,0.0797
2,2.3349768149701853,0.0827
3,2.3272583213033555,0.0854
4,2.320692246473288,0.0888
5,2.3149518242365197,0.0924
6,2.3092563031594966,0.0955
7,2.303591003900842,0.099
8,2.2979513995255094,0.1024
9,2.292336729508412,0.1054
10,2.2867378524587125,0.1102
11,2.28114100649387,0.1149
12,2.275619020944909,0.1189
13,2.270063837872276,0.1245
14,2.264523222476621,0.13
15,2.2589877949485295,0.1352
16,2.2534681603878357,0.1405
17,2.247970722898652,0.1466
18,2.242501793028433,0.1501
19,2.2370330472535724,0.1565
20,2.2315669301189955,0.1628
