global_update_round,loss,accuracy
0,2.357772166215921,0.0839
1,2.2706058840208416,0.1773
2,2.192126114157182,0.324
3,2.1168849528590337,0.4107
4,2.0369062559514104,0.4805
5,1.9545087029662314,0.534
6,1.870426962647257,0.5766
7,1.785451335243032,0.6119
8,1.7007908624938772,0.6389
9,1.6174189727517623,0.6618
10,1.5364967539340635,0.6787
11,1.4588532417635374,0.6932
12,1.3850398833238626,0.7046
13,1.3159793954861314,0.7137
14,1.2514217488373383,0.721
15,1.192182555228849,0.7262
16,1.1500897928129268,0.732
17,1.1004968323285067,0.7373
18,1.0546840308587762,0.7409
19,1.0119954468328742,0.7446
20,0.9729151740858827,0.7488
