global_update_round,loss,accuracy
0,2.331948603255839,0.0648
1,2.3228952884674072,0.0651
2,2.3180493765239474,0.0664
3,2.316283002684388,0.0685
4,2.3145145826701876,0.0702
5,2.3122177184382573,0.0718
6,2.309993635250043,0.0742
7,2.308280054526993,0.0765
8,2.3057869748224187,0.0789
9,2.3041131164454205,0.0813
10,2.302446256710004,0.0847
11,2.300779125358485,0.087
12,2.2991206163092506,0.0908
13,2.297471867331976,0.093
14,2.2958215550531316,0.0959
15,2.294165867793409,0.0984
16,2.292511707619776,0.1018
17,2.2908478779128836,0.105
18,2.289185436466072,0.1073
19,2.2875276275827914,0.1105
20,2.2858811752705632,0.1127
