global_update_round,loss,accuracy
0,2.3349052048936674,0.1052
1,2.3188873182369183,0.1099
2,2.3175187080721313,0.1115
3,2.3161620731595196,0.1136
4,2.3147993359384658,0.1153
5,2.313439948649346,0.1181
6,2.312085263336761,0.1195
7,2.3107287219808073,0.1216
8,2.3093769188168682,0.1246
9,2.3080250854733624,0.1279
10,2.306676689582535,0.1308
11,2.305328637738771,0.1339
12,2.303977821446672,0.1366
13,2.3026301166679284,0.1404
14,2.3012793728067904,0.1435
15,2.299937121475799,0.1464
16,2.298586736751508,0.1495
17,2.297238401219815,0.1532
18,2.2958931258962125,0.1568
19,2.294544310509404,0.1602
20,2.2932030551041227,0.163
