global_update_round,loss,accuracy
0,2.3468600285204153,0.076
1,2.327928458588033,0.0906
2,2.309313614157182,0.1057
3,2.2910506966747817,0.1211
4,2.272973999192443,0.1392
5,2.255145975306064,0.1553
6,2.2373956758764724,0.1706
7,2.2209149976319904,0.1872
8,2.2035886245437815,0.206
9,2.186313387713855,0.2286
10,2.168976101694228,0.2514
11,2.1517117355443256,0.2783
12,2.1345998667463473,0.3057
13,2.1174808423730394,0.3339
14,2.1002853882463675,0.3601
15,2.083026846752891,0.3847
16,2.065664585632614,0.4071
17,2.048383285727682,0.424
18,2.03113544138172,0.4394
19,2.013843786867359,0.4545
20,1.9965832716302028,0.4675
