global_update_round,loss,accuracy
0,2.3389425730403466,0.1041
1,2.313690076900434,0.1062
2,2.3023208394835266,0.1099
3,2.29176109651976,0.1147
4,2.2819851199282875,0.1208
5,2.272278945657271,0.1285
6,2.2625774884525733,0.1386
7,2.2529839111279837,0.1496
8,2.243396134316167,0.1633
9,2.2338230911689467,0.177
10,2.2242193191866333,0.1895
11,2.2146703140645085,0.2082
12,2.205101170117342,0.2229
13,2.195508534395242,0.2376
14,2.1858529531503024,0.2517
15,2.1762149152876455,0.2663
16,2.1665148312532447,0.2794
17,2.1567622800416584,0.294
18,2.146904257279408,0.308
19,2.1370630807514432,0.3231
20,2.1271406276316585,0.3357
