global_update_round,loss,accuracy
0,2.3099870289428326,0.093
1,2.285708210136317,0.1069
2,2.262685664092438,0.124
3,2.2398790045629573,0.1427
4,2.2185630888878545,0.1628
5,2.1980278220357774,0.1948
6,2.1761442317238338,0.2325
7,2.1544215135936495,0.282
8,2.1327052056034908,0.3301
9,2.110973834991455,0.3762
10,2.0891696607010273,0.4132
11,2.067308053185668,0.4457
12,2.0452968500837496,0.4724
13,2.0232093485095834,0.4957
14,2.0010510215276405,0.5205
15,1.9788835697536227,0.5426
16,1.956367224077635,0.562
17,1.9337741528885275,0.5803
18,1.9111005158364018,0.5956
19,1.8883355493786969,0.6089
20,1.865420552748668,0.6207
